	log2FC	FDR
YOR037W	0.068094907	0.698874927
YOR241W	0.059850256	0.687621231
YMR099C	-0.063030082	0.698874927
YDL052C	-0.094945722	0.622177864
YHR171W	-0.227045777	0.112748084
YBR272C	0.111453856	0.378738172
YBR074W	-0.201400059	0.050595449
YNL328C	-0.211659462	0.540106626
YJL061W	0.073170207	0.553749965
YOR319W	0.218198165	0.080633595
YIL052C	0.130032835	0.728034576
YDR094W	0.052288723	0.958335214
YFR006W	0.052184065	0.685844986
YIL041W	-0.096656836	0.535544446
YMR102C	-0.323468948	0.09907813
YGR100W	-0.034204229	0.794763091
YNL269W	-0.286429403	0.756626933
YPR084W	-0.476889037	0.020518329
YOL059W	0.087539017	0.520776343
YLR340W	0.040320909	0.827697462
YER065C	-0.472511226	0.000195111
YDR460W	0.088789035	0.614605649
YGR027W-A		
YJL184W	0.105108756	0.607662971
YNL065W	0.209846339	0.451301084
YKL116C	-0.452393873	1.4e-05
YAL033W	0.14493321	0.429170887
YNR005C	-1.864347016	
YBR296C-A	0.509087096	0.224458053
snR189	0.086982595	0.910082925
YDR207C	-0.133187812	0.485042249
YER176W	-0.05669071	0.739257409
YLR367W	0.034282942	0.897244667
snR65	0.283422342	0.820012926
YJL192C	0.045923047	0.813519728
tT(AGU)H	-0.090167714	0.963204521
YLR290C	0.085618357	0.608342888
YNL200C	0.119905141	0.411021276
YGL221C	0.090035524	0.525243516
YMR165C	0.272804464	0.056187984
Q0255		
YMR250W	-0.09267242	0.709783935
YDL209C	-0.341604168	0.066771861
YLL042C	0.255228463	0.171645499
YOR059C	0.054898679	0.732229354
YOR168W	-0.046761636	0.739257409
YBR153W	-0.121188033	0.539703303
YBR233W-A	0.171057954	0.540779361
tM(CAU)D	-1.923927372	
YPL015C	-0.178121898	0.160753112
YDR516C	0.041537131	0.804442465
YGR188C	0.216409762	0.330644524
YGR186W	-0.074598136	0.535487256
YIL122W	-0.286519116	0.013484988
YHR105W	0.041963322	0.907545399
YDL053C	0.027139159	0.892660943
YFR036W	-0.17759627	0.539325658
YAL064W	1.334041897	0.093303921
YDR235W	0.041877295	0.79352116
YDR498C	-0.321735119	0.058980807
YJL020C	-0.093078	0.653803799
YER120W	0.016896193	0.925670953
YMR032W	-0.102885245	0.621404894
YNL099C	-0.061379114	0.794763091
YDR260C	0.016526502	0.947370837
YMR173W	-0.083755591	0.846284072
Q0120		
YNL198C	-0.03561628	0.981365646
YBL068W-A		
YAL047W-A	-0.927509437	
YLR434C	-0.254337169	0.828049625
YPL256C	-0.699769738	1.04e-05
YDL201W	0.119536842	0.352313545
YOL007C	-0.308720359	0.080132202
YLR450W	0.049356927	0.765332686
YJR104C	0.033812198	0.918913472
YCR099C	-0.152503186	0.644302314
Q0142		
YLR275W	0.152711307	0.529123781
YMR257C	-0.246205046	0.012433077
YMR237W	-0.175166933	0.15953627
YLR002C	0.07473526	0.587095566
YKL009W	0.03021973	0.887947185
YMR320W	0.221768368	0.428089493
YKR010C	0.03852852	0.870037478
YNL012W	0.502168545	7.18e-08
YDL001W	0.033005231	0.843089862
YKL084W	0.433696081	0.009963081
YNL232W	0.061955866	0.729659549
YMR318C	-0.057308656	0.693885291
YDR169C	-0.086644045	0.741897858
YEL062W	-0.046245697	0.791439281
YOR387C	0.476221336	0.187820547
YPL163C	-0.261598666	0.044528333
tV(UAC)Q		
YPL152W-A	0.027320082	0.988106983
YER170W	0.052746186	0.787190635
YML087C	-0.5866427	7.69e-10
YGL160W	-0.088597504	0.61014902
YOR337W	-0.242419028	0.264616905
YEL077C	-0.070223483	0.850582926
YAL024C	-0.269969803	0.201942256
YPR053C	0.105049628	0.82525324
YER035W	0.023923005	0.918188995
YMR078C	-0.245760246	0.170922172
YGR244C	0.084638951	0.651487608
YIL086C	0.212589237	0.613068228
YPL261C	-0.860793542	0.494644268
YLL066W-A		
YJL189W	0.227831586	0.869517708
YMR096W	0.169521334	0.34544757
YDR046C	-0.210968271	0.007698396
YDR342C	0.114241924	0.787190635
YDR378C	0.133177926	0.545498415
YER066C-A	0.131113042	0.763338036
YNR019W	-0.228017896	0.085749084
YDL042C	-0.145568768	0.411324621
YBR182C	-0.421893455	0.006210052
tM(CAU)J2		
YDR477W	-0.075601391	0.679141877
YLR357W	-0.196118222	0.336992368
YER078C	0.014228741	0.944276933
YJL081C	0.010805557	0.945061585
YJR141W	0.199032079	0.085314091
YFL020C	-0.59149353	0.150043463
YDL131W	0.088598036	0.599415921
YIL088C	0.004284429	0.9808612
RME2	-0.233334653	0.575490678
YHR157W	0.282582084	0.353325138
YIL094C	0.183846123	0.0390587
YOL103W-A		
YDR216W	-0.358221767	8.02e-06
YPR167C	0.010006929	0.967959996
YOR356W	0.007506583	0.958892749
YOL122C	-0.450892299	7.21e-09
YLL065W		
YJR139C	0.102382871	0.335715156
YPR121W	-0.149763266	0.380932559
YNL306W	0.057503912	0.790690736
YNL324W	-0.038741314	0.988106983
YGR176W	0.011868985	0.989634308
YKR081C	0.111352941	0.539703303
YGL087C	0.120368859	0.585084721
YDL079C	0.121796271	0.310085228
YGR145W	0.141385338	0.11671376
YPL211W	0.145072059	0.322541246
Q0080		
YPR187W	0.107973972	0.732914046
YDL208W	0.104251163	0.674466722
YCR076C	0.083729483	0.643911893
YKR008W	0.034078049	0.798998434
YJL121C	-0.026765951	0.886264366
YGL123W	0.071485362	0.791777706
YHL040C	0.015624653	0.943083059
YPL069C	0.127467594	0.446547573
snR57	-0.172685905	0.767589945
YDL200C	0.232189665	0.077517957
YPL173W	0.051342018	0.767346591
YOR347C	0.056883564	0.725333254
YDR261C-C		
YMR049C	-0.039829206	0.856099616
YPR133W-A	0.070530522	0.856033589
YJR145C	0.003202768	0.991839999
YLR381W	-0.279638927	0.100822922
YLR035C-A	0.570253593	0.802950389
YDR299W	0.05294583	0.746360459
YKR018C	-0.03809299	0.789562142
YDL060W	-0.105689864	0.411676728
YLR333C	0.082608306	0.782082
YDR051C	0.056011382	0.791611198
YLR040C	-0.148159809	0.282834047
YKR036C	0.112245172	0.408236884
YIL066C	0.709307634	0.00018493
tP(UGG)M	1.591136841	0.00052408
YNR071C	0.229583552	0.230200668
YBR221C	0.010826743	0.94321549
YDR376W	-0.249859166	0.004010386
YOR154W	0.082632718	0.603621965
YMR033W	-0.010653326	0.948573847
YER139C	0.151588204	0.394834777
YOR030W	-0.102226454	0.566327625
tI(AAU)P1		
YJL162C	0.105134582	0.535228229
YDR436W	0.010983619	0.967738329
YOR041C	0.122705027	0.948719139
YFR052W	0.099902662	0.496006118
YLR285W	-0.00016989	0.999072786
YLR325C	0.055668258	0.938901616
YNL130C-A	-0.562808782	0.55474387
YGL244W	0.023482004	0.885606068
YER070W	-0.283686339	0.193393205
tD(GUC)L2	0.13571652	
YOR006C	0.050986986	0.767734104
Q0070		
YHR052W-A		
YML104C	-0.035599913	0.866808221
YJL146W	-0.119421811	0.538531434
YGR109W-A		
YNL042W-B	0.296418281	0.816098907
YMR322C	0.259909515	0.912442519
YNL153C	0.030501761	0.902689415
YBR110W	-0.066914145	0.646496017
YER173W	-0.158449431	0.443885736
YIL062C	0.052765066	0.834624126
YPL275W	0.314199403	0.646496017
YAL046C	-0.189089017	0.328988015
YKR017C	0.030581197	0.845222236
YIL150C	-0.367825714	0.033584692
YOL126C	-0.230057015	0.031331024
YJL022W	-0.2175761	0.866115074
YIL128W	-0.035938205	0.856099616
YLR051C	0.151147402	0.421761891
YGR144W	0.240162547	0.359957918
YJR121W	-0.244506388	0.002834088
YLR221C	0.163605791	0.248945577
YOR221C	-3.625477805	6.61e-98
YPR115W	-0.180208053	0.068373299
YOL164W-A	-0.785969747	0.059619579
YML006C	-0.407057863	4.01e-05
