	log2fc	p-adj
HAP2	-0.076423034	0.591175182
PAP1	0.002063854	0.978714923
RCN1	-0.335081884	0.02060142
DSS4	0.16892121	0.325768369
YNL295W	-0.24155355	0.377408079
HOT13	1.754769515	0.02061577
UBX4	0.089878866	0.267387247
YKR018C	0.225877605	0.000226654
YLR241W	0.121842768	0.160515415
GUA1	-0.107630249	0.097355011
DOT1	0.413939319	0.002998884
YKR070W	-0.315618271	0.000100596
HCS1	0.113478195	0.068777308
MRPL27	-1.092571283	3.89e-06
AEP2	-0.679723266	3.32e-05
DBP1	0.649009386	0.00025369
TOF2	0.131354726	0.01159158
STB1	0.066397274	0.447753393
YHR122W	-0.206255173	0.445687283
KRE27	0.159471489	0.057517085
YKR078W	0.057396822	0.383436493
YKL018C-A	0.089857003	0.441099362
FAA2	0.530855964	0.068877039
PRP46	0.219457135	0.174504579
YFR016C	0.072595716	0.221485405
RHR2	1.701236935	7.02e-05
STE24	0.098273942	0.017118949
FBA1	0.347697298	0.033201477
ESC8	0.064759006	0.168559822
PRP38	0.077989371	0.140226878
UBA4	0.411921108	0.045757849
TPT1	0.200105883	0.110025816
LPD1	-0.980206872	7.63e-06
YCR076C	0.135060894	0.128440324
HMO1	0.267573969	0.117793776
CWC23	0.207726306	0.032386008
FSH2	0.010363734	0.900145231
STP22	0.232149572	0.050154632
ESF2	-0.073703945	0.317132609
YEL020C	-0.096291225	0.012001961
RHO1	-0.126625196	0.277411589
ERG20	-0.260177966	0.002416374
PIH1	-0.186192274	0.218534119
PUS9	0.072826699	0.087036551
NIT2	0.124740085	0.076646024
MSE1	-0.625528295	5.03e-05
TPO5	-0.043034405	0.588334278
MDM38	0.073080287	0.078562354
LOS1	0.048362083	0.420922577
EXG1	-0.263981843	0.219592781
GLY1	-0.301763117	0.000977935
YKR017C	-0.122864733	0.244239911
ARG81	0.151701911	0.293978374
PTC7	-0.310637671	0.01575189
YPL168W	-0.719285265	0.000481332
PIN2	0.044309675	0.622863458
LIP1	0.249323205	0.458936873
URB2	0.118926867	0.293825892
CYC2	-0.734058225	0.000231637
SEC61	0.060694174	0.496999397
PUB1	-0.141813	0.143603053
MET10	0.399375123	0.000866211
YCP4	0.361908797	0.001679769
TIP41	0.118784023	0.271613292
YJR141W	0.198324862	0.665142765
ZDS1	-0.009072966	0.911980558
AIM17	0.495389043	0.014414398
SGD1	0.207533939	0.049404286
YOR385W	0.033814116	0.905952912
NMA2	0.357314896	0.076957604
ACS2	-0.286561664	1.12e-06
NET1	0.081037125	0.290929638
AAT1	0.28771099	0.003137596
QRI1	-0.110373446	0.052784356
GCR1	0.408229998	0.003823266
BNA7	0.081179467	0.316172737
TID3	0.152884723	0.133239148
IBD2	0.238926132	0.297068481
VAN1	-0.028280353	0.623986336
ART10	0.327957075	0.005046212
SOD1	0.15880025	0.3156612
ATG15	0.358004795	0.432554263
AEP3	-0.231117199	0.006919388
YJL147C	-0.237779109	0.312587454
IBA57	0.124445637	0.018604
IMG2	-0.816297302	0.005141285
