	log2fc	p-adj
SRL3	-0.369238068	0.029425167
TSR2	0.077432924	0.47270964
TMA108	-0.225732002	0.000582832
KAP123	-0.071705663	0.207786798
RAD7	0.265725857	0.042256486
RNR2	0.629519812	4.26e-05
FOB1	0.310365059	0.042564615
HRR25	-0.004431208	0.965329254
INP1	0.25944717	0.027740932
LDB19	0.334450793	7.84e-06
TGL5	-0.058241774	0.24840405
MEH1	0.004668556	0.97734774
FMP33	-1.505483304	1.8e-05
YGR125W	0.010504024	0.860941815
MED1	0.037856103	0.632580632
YDR282C	-1.564484587	0.000228596
SKS1	0.443410484	0.057210885
VPS1	-0.05398311	0.185175108
IMP1	-0.718468546	1.33e-05
HOT1	0.669204049	0.057702976
TSR3	-0.062033605	0.555602025
REF2	0.155559763	0.112912608
YKR023W	0.09256221	0.054641661
TTI2	0.184796198	0.012714133
RDS1	0.476471428	0.383782967
NDD1	-0.503622198	0.003866228
USA1	0.201555107	0.043057855
DNM1	-0.371570702	0.000639982
KRE27	0.159471489	0.057517085
APE3	0.453975113	0.013542619
YEL020C	-0.096291225	0.012001961
MRPL25	-1.020601468	0.000452203
RPL34A	-0.293829319	0.089823512
AIF1	0.475911154	9.83e-06
BNA6	0.224549771	0.145219889
MSW1	-1.081178448	7.35e-07
PTC5	-0.301771382	0.003025135
ATP22	0.060972635	0.321048411
DAK1	0.254103818	0.00795429
RPT3	0.006315533	0.85755868
YDR381C-A	0.389930236	0.081271235
HMX1	0.245529507	0.060777587
MDH3	0.032663843	0.443013364
RAD1	0.126790694	0.202634924
NAS6	0.10290497	0.300752269
RDS3	-0.014039333	0.970961496
TVP15	0.239887624	0.016627712
CEP3	-0.00126788	0.972616877
NTA1	0.191533433	0.064733187
KCC4	0.024293827	0.746486277
END3	-0.079001983	0.123754409
SPT23	0.214387447	0.086938483
ATP10	-0.709946049	1.4e-05
YNR064C	0.569426369	0.003121881
FIG4	0.188918002	0.03780562
IML2	0.258608333	0.010626199
YLR287C	0.066877243	0.504993645
NOT3	-0.041045124	0.31316472
SPO71	-0.102784774	0.437346795
PRP8	0.156523259	0.036987342
PUS2	0.298209675	0.141714827
URB1	0.065437301	0.001055689
RRI1	0.202418906	0.065274083
SSB1	-0.469857797	0.106168261
FYV6	-0.076739257	0.55038916
YCR087C-A	0.23117256	0.212370884
SEC53	-0.098915461	0.095145396
RVB2	-0.230804629	0.00750107
COQ10	-0.858692093	0.000536985
HAL5	0.030957371	0.558991213
ILV6	-0.301886175	0.002186049
PET122	-0.099766505	0.072262753
GRC3	0.219460006	0.018914898
MNT2	-0.281565123	0.032082764
CSE1	0.041994423	0.583171499
ZIM17	-0.173992515	0.370307829
CTA1	2.258559265	0.002316899
CPR8	-0.662705929	1.91e-05
SEY1	0.244560839	0.010358195
RNR1	-0.455045013	0.028223458
MFT1	0.275668191	0.0316764
RPS21A	0.207135099	0.016011538
RUP1	0.056794128	0.748573867
NTR2	0.072305633	0.397989925
PET123	-1.225878172	8.51e-07
PTK2	-0.004081995	0.955644844
SFH1	0.112954826	0.129378293
DSE1	0.029357327	0.828323427
SLS1	-0.757982664	0.000371201
SCY1	0.062189162	0.236990357
STB3	-0.082276734	0.333742457
HIF1	-0.013068261	0.962613629
BLS1	0.228538374	0.017241217
GNT1	0.389761096	0.000220426
KRE28	0.155256907	0.034706221
XBP1	-0.067060297	0.49519537
MNN9	0.14362462	0.257556447
TAH11	0.322036839	0.108620224
YDR090C	0.168436242	0.029164566
MSC3	0.037673197	0.629586105
YNL181W	0.215463285	0.046702097
PUS6	0.193803515	0.024520453
ROY1	0.166691297	0.005560912
SWI5	-0.503911154	0.000291463
ODC1	-1.924654697	0.000261338
ZDS2	-0.097030504	0.149521466
SAM3	-0.290662736	0.001140893
CYS3	-0.069032363	0.401264153
RSC8	0.011155311	0.818447843
CWP1	-2.01592322	0.000446178
CYT2	-0.305775285	0.020868053
CPA2	0.938016928	9.56e-06
HPR1	0.238546454	0.017970991
TOS3	0.089492213	0.71441287
RIT1	-0.101154139	0.131820133
UGA1	0.747523327	0.000101015
BRR2	0.121305708	0.030011917
YOP1	-0.019199247	0.790017651
YIR024C	-0.432895075	0.094860433
YPK3	-0.21907195	0.007850643
YDR131C	0.296771515	0.014220983
YLL058W	-0.097698319	0.137499361
SUA7	-0.037024341	0.929651315
RAD53	0.282971489	0.133429125
YBR242W	-0.186452119	0.000613569
YKL075C	0.161017395	0.073244646
ECM2	0.28383176	0.008339578
SED1	-0.251798287	0.373086231
FUN12	-0.030963734	0.260374073
YLR326W	-0.147532806	0.06660012
ATG22	0.000625539	0.998333953
ESA1	0.204439827	0.056860592
YCK2	0.072021189	0.354657011
GCN5	0.101563758	0.234762493
SWH1	0.157435601	0.041522492
GDH1	-2.583590035	0.00010782
YDL063C	0.273471754	0.131237245
HPM1	0.004684633	0.959303737
YML131W	0.985757256	7.87e-05
NAT2	-0.253019356	0.02277705
YHC1	0.057799344	0.921161101
SET5	0.230265095	0.016452283
KTR1	-0.106089616	0.171348232
YDR338C	-0.227747006	0.243966054
YNL155W	-0.137348774	0.040499662
FRE8	0.330550432	0.00016073
BUD32	0.21990188	0.00314404
ILS1	0.036065412	0.518924689
UBP8	0.145911711	0.057159239
YGR283C	-0.030783335	0.714114403
YHP1	-0.252962483	0.198814337
RAD33	0.263366016	0.000811268
RTG2	0.068172758	0.325365434
DBF2	0.012079457	0.840302221
YMR209C	0.077577177	0.197163071
YBL107C	-0.16690816	0.569812065
YDR541C	1.089836859	0.000120755
RSM22	-1.033969586	0.000113829
BSP1	0.195409372	0.015114006
NUP42	0.180703692	0.089571631
MRH4	-1.152468739	5.54e-06
KCS1	0.110783188	0.021235963
YGL114W	0.206785621	0.036309583
HSP31	-0.934295921	6.49e-06
PEX22	0.157443119	0.108192251
DAS2	0.072638145	0.585759541
GPG1	-0.262116971	0.01497176
PEP7	-0.003286343	0.93675112
REP2	0.13089213	0.422077621
RAM1	0.204540683	0.015602537
DNF2	-0.017016016	0.636621003
CAT8	-0.702054016	0.000666947
OKP1	0.405249146	0.005608941
YDR387C	0.261000704	0.008912973
LEO1	0.077149606	0.327698968
PXA2	1.029815376	0.000888623
SHP1	-0.226301163	0.062745082
SSN3	-0.048215599	0.642193645
SPP1	-0.093011236	0.755009078
OPT1	0.907468914	0.000423571
RFT1	-0.310471463	0.001423797
CTM1	0.243086009	0.002370872
SSE1	0.055448039	0.394758618
AHP1	1.525588693	6.25e-07
RGI2	1.315247535	0.000168833
TOF2	0.131354726	0.01159158
MSH1	-0.47293084	0.000278119
MZM1	-1.604682862	0.000566503
ARB1	-0.05741838	0.299091176
PAC2	0.293514461	0.058170103
MAK5	-0.01183433	0.794004271
PEX30	0.441345946	0.002791988
SHE10	0.344153038	0.006761778
SFK1	-0.210388592	0.041887454
GAS3	0.10142255	0.052555942
GGA2	-0.282384083	0.00545843
FYV7	-0.405078746	0.055665477
YPR1	0.193556433	0.026530289
URA4	-0.2954486	0.002207008
ENB1	-0.242454542	0.13900538
GRX6	0.108931162	0.179704388
PEX31	-0.103747645	0.414184319
