	log2fc	p-adj
PUB1	-0.141813	0.143603053
YKL133C	-0.795350102	0.000697357
YJR008W	0.165732291	0.495906814
CUS2	0.077222507	0.641090014
PDS1	-0.23231801	0.023553556
KNH1	0.940246067	0.002226304
FTH1	0.136246544	0.359400663
YJR142W	0.293627058	0.008903178
FDC1	0.592873641	0.007085907
YUR1	0.178805353	0.184958986
DSE4	0.793350241	4.96e-07
PNC1	0.027643053	0.605670433
TSC11	0.17871094	0.001741806
ADP1	0.679871018	0.01836604
TDA7	0.271909674	0.027299702
RRP42	-0.048323986	0.497737596
NSA2	-0.265480846	0.027904774
EHT1	-1.117045003	0.000473593
LCB3	0.263106024	0.355045648
BUG1	0.225757178	0.042705517
MRPL49	-1.084377084	1.39e-06
OPI3	-0.497454044	0.127361199
RFA3	-0.292812152	0.312190035
PCL6	0.150575938	0.037131244
RPS8A	-0.460433138	0.024559516
YJL193W	-0.002482908	0.944941288
IOC2	0.268491219	5.94e-05
ASF1	0.408466859	0.000773596
IDH1	-0.075906103	0.516701546
OSM1	0.182083201	0.039356615
MBP1	0.19817135	0.045652534
YJL070C	0.045549319	0.379166287
ATG26	0.181054691	0.083517518
PRP24	0.157245781	0.071620279
RCR1	-0.257303381	0.048325095
XYL2	0.606050252	0.005386092
BDF1	0.214723498	0.03585045
RTC1	0.17200829	0.004877062
YBL095W	-1.420486382	0.006188223
YGR266W	0.408076996	0.000304854
BFR1	-0.186239274	0.106498055
SVL3	-0.295222094	0.000398173
MRI1	0.174443438	0.058074409
YGR130C	0.214076504	0.008349405
PDA1	0.103347549	0.509913116
BNA2	-0.187080089	0.024639369
TDA2	-0.015935026	0.920699305
PRO1	-0.122237241	0.129616342
VPS72	-0.043436063	0.687219266
YHC1	0.057799344	0.921161101
CAM1	0.01247628	0.905384241
MDM20	0.084650223	0.051803653
NUP157	0.232490452	0.00095708
BSD2	-0.028723422	0.704241357
RPS2	-0.288351787	0.011254554
SIN3	0.118642546	0.048144061
STB5	0.303053134	0.024681172
HAP5	-0.060968014	0.382171995
MSA2	0.020839823	0.865634962
ISW1	0.032589943	0.471206958
COG6	0.149658034	0.015626073
MIF2	0.176225734	0.40892484
RCK2	-0.226946813	0.012615301
HRD3	0.175022499	0.130372007
PRY2	1.117544949	0.295736771
CHZ1	0.227627381	0.126745442
SLY1	-0.021295862	0.735753548
ELO1	0.108919205	0.184704886
BOI2	0.132134481	0.059427905
GEP5	-0.838143534	0.000786271
SPC2	0.372728431	0.053395768
CDC26	-0.00150748	0.985948096
AFI1	0.068424796	0.326008939
BMH2	0.047056387	0.227049219
RRN3	0.088583453	0.381047504
FUS3	-0.649919056	0.000150504
MRPL19	-1.151753965	9.02e-05
MAD3	0.237945799	0.011004861
CSE1	0.041994423	0.583171499
ERG28	0.836243575	4.78e-05
LAS21	0.017002629	0.787343385
EAF5	0.186793034	0.06179147
DYN3	0.09070683	0.171739413
YML119W	0.05988547	0.489467899
VTC2	-0.202117655	0.090974745
KEL2	-0.179519733	0.075389883
NCL1	-0.036346971	0.353118283
IBA57	0.124445637	0.018604
MKT1	0.16515723	0.027971784
CCT8	-0.120026363	0.025997981
HAM1	-0.123246266	0.268969864
CBF2	0.339680322	0.000892966
DIG2	0.015576707	0.964750075
HOF1	-0.151639477	0.027091955
ARK1	0.189923227	0.073190215
FAT1	-0.017382463	0.742252034
DBF20	0.109757849	0.164099867
KES1	0.029695554	0.66563223
SDS3	0.103658083	0.372615822
MLC2	-0.151227115	0.419307988
JIP4	0.001401551	0.987586597
NOT3	-0.041045124	0.31316472
RAD26	0.119353692	0.191122918
IMG1	-0.552308187	0.002572844
YPR022C	0.093862923	0.530254604
CNB1	0.073804542	0.596245952
LYS1	0.119404054	0.305734352
MCM22	0.263428217	0.093124887
TCO89	0.095947114	0.277994298
RAD17	0.287147584	0.009517064
YCK1	0.175828069	0.019409412
DID2	-0.072561211	0.226714838
EMP24	-0.146658151	0.322614279
SPE3	0.203465648	0.006520994
URA8	-0.117349862	0.034672661
ATG11	0.440661111	0.006769753
RPS23A	-0.651255212	0.184092871
AIM6	-0.061302764	0.471476499
GLO3	-0.087294315	0.220442648
VAC14	0.062087841	0.425610656
PRO2	-0.196636848	0.016905055
DCR2	0.048087165	0.567392821
YIP5	0.012476045	0.885570598
DID4	0.041673722	0.613252692
YDL199C	0.264020405	0.038329979
YRA2	0.114789176	0.085926943
COA3	-0.124897678	0.201731069
FAR8	0.134220164	0.140549523
YOP1	-0.019199247	0.790017651
ASI3	0.346841152	0.078868322
PRS4	-0.152809318	0.030192925
ART10	0.327957075	0.005046212
YLL054C	-0.092146186	0.183613204
TOR1	-0.110701944	0.022303838
SHY1	-0.702939861	0.002387921
PEP3	0.208867442	0.069038595
SSS1	0.27720216	0.002427249
ESA1	0.204439827	0.056860592
YNL058C	-0.082091632	0.373233308
MAK3	0.326828707	0.012751506
YSC84	0.187506629	0.031177735
RIB1	-0.050823906	0.502358245
ALG6	0.410803052	0.199159082
BST1	0.063582347	0.588486646
MNN11	0.06836023	0.169012463
MDY2	0.112264024	0.306967817
TAZ1	0.101393761	0.152556137
YMC2	0.420483882	0.008245839
HAA1	-0.107628132	0.425077667
UBP9	0.028004814	0.644947143
GFA1	-0.106642734	0.263844747
MRP13	-0.561610869	5.66e-05
HRT3	-0.041966914	0.558564097
GIP3	0.576635795	0.004561655
SNL1	0.145850076	0.027210449
ENO2	0.517150766	0.000174858
LCB2	0.10593185	0.481909956
LUC7	0.07506207	0.087990162
YMD8	0.062261755	0.768458816
OST2	0.116715618	0.034251195
YGR169C-A	-0.105307502	0.598620314
ARL1	-0.019664661	0.807159002
YIP3	-0.206192535	0.054681315
PXR1	0.221573661	0.011691032
SPT2	0.046006215	0.628551012
PSD1	-0.643557247	1e-10
GDH1	-2.583590035	0.00010782
MMF1	0.453746117	0.025905314
MPS3	0.26728845	0.049176854
YDL085C-A	0.085133165	0.410511022
MSL5	-0.013599546	0.726171972
IBD2	0.238926132	0.297068481
SHM1	-0.259334834	0.00097556
IML1	0.050955315	0.290080211
NBP2	0.093559833	0.344661715
CKA2	0.007158501	0.883186729
PRS1	-0.071111668	0.393773923
HOS4	0.259533892	0.03211435
DUG3	0.248606656	0.018193499
MZM1	-1.604682862	0.000566503
USE1	0.281494695	0.058328806
HCR1	-0.063757181	0.630469502
ZDS1	-0.009072966	0.911980558
POR1	-1.381257974	0.020062939
YHR177W	0.300273424	0.074722988
YBR241C	0.347162513	0.021759269
BBP1	0.133734223	0.26998244
TIF4632	-0.177972911	0.051699023
ERG10	0.012293997	0.911776683
ATC1	0.090073424	0.540349851
GIS1	0.08900933	0.274755765
DEF1	-0.221226949	0.112521733
URA2	0.277239152	0.000297641
CLB3	-0.295776253	0.138317067
PAC10	0.010390677	0.939795073
NRM1	-0.152866459	0.133043306
IKS1	0.13051715	0.152094447
YJL171C	-0.212922181	0.046261405
YLR118C	-0.059241712	0.432388046
RPS17B	-0.406107885	0.136593488
SEC62	0.143931878	0.070361785
YMR252C	0.254606419	0.286865208
YKL018C-A	0.089857003	0.441099362
SPT20	0.249318671	0.002906748
NOP13	-0.2509916	0.017838018
PAN5	-0.238785131	0.246668114
MTC6	0.398784626	0.100727519
MSM1	-0.244778197	0.032524963
UBP5	0.150957247	0.025882264
YGR093W	0.055137863	0.323199869
NPC2	0.897628567	2.56e-05
MMS4	0.042882327	0.84647241
RPC19	0.059431593	0.710970525
PFA3	-0.142000575	0.676266896
PRP21	0.323318659	0.036784505
CPS1	0.560488399	0.011763367
ABF2	-0.105987088	0.052446598
COQ3	-0.400958565	0.20028513
SOM1	-1.255782587	0.006972312
YIL096C	0.166997724	0.008065987
BRR1	-0.021254642	0.827938251
CIN1	0.328444511	0.001181241
LCP5	0.254259688	0.013956696
TAD3	0.238174142	0.117134901
MRPL25	-1.020601468	0.000452203
YLR001C	0.219710253	0.066928825
IES3	0.029740312	0.661265895
MAP2	0.005211423	0.932392392
RPC40	0.0214967	0.535348722
ILM1	0.343793909	0.002705672
UBP12	0.146405738	0.144636153
CCT5	-0.270856847	0.054119101
CNM67	-0.048436491	0.480476582
CCA1	-0.108034346	0.012812216
ARG80	0.092355497	0.38052778
NQM1	1.888217924	0.000294265
RPL22A	-0.139690151	0.177299986
RSA4	0.135046025	0.092589415
YBR259W	0.128210518	0.24634392
SPT10	0.217393816	0.004223413
PRB1	0.412307435	0.004096911
DBP3	-0.293978635	0.122158385
QCR8	-2.162128507	2.26e-05
KSS1	0.124374337	0.027430095
CCZ1	0.434457851	0.003436471
SAK1	0.111065945	0.05425868
SRB7	-0.416594649	0.320892152
YNR040W	-0.309009908	0.003242665
TUF1	-0.67437772	0.0016029
OYE3	-1.708069201	3.44e-06
COX23	-0.307074458	0.142260396
CIR1	-0.549471324	0.003411788
OSH7	0.013378642	0.847461324
ART5	0.109403976	0.306099964
YMR122W-A	-1.497010022	0.000512502
OCA5	0.118173179	0.109731668
NCP1	0.495299301	0.001460652
GYP7	0.252904784	0.000735014
ATG3	0.311300367	0.015008603
RVS161	-0.096389927	0.090234879
MRPL15	-0.383638209	0.019840259
TOP2	0.118076129	0.069884784
NSE1	0.247491562	0.039537708
HUL5	0.130602006	0.479783528
CUP2	-0.044809654	0.933401392
PRP8	0.156523259	0.036987342
TPT1	0.200105883	0.110025816
