	log2FC	FDR
YJR143C	-0.091415265	0.432334657
YDR339C	0.136092114	0.474125802
YDL153C	0.16520394	0.041331713
YEL066W	0.148053609	0.340950459
YAL044W-A	0.078046524	0.833479002
YHR195W	0.044189495	0.804442465
YDR440W	-0.208396879	0.202696991
YLR121C	-0.390929169	0.002507207
YFL002W-A		
YOR020W-A	0.068803671	0.791611198
YMR291W	-0.197119508	0.101395541
YGR219W	0.147414107	0.735167994
YDR122W	-0.255820118	0.063507722
YOL083C-A		
YNL255C	0.099139813	0.787190635
YBL029C-A	-0.196288599	0.323510543
YPR184W	0.256778439	0.129881285
YOL062C	-0.016401626	0.909560937
snR191	-0.103441506	0.872337413
YBL033C	-0.099093479	0.441383727
YJL092W	0.03265332	0.851852313
YDL149W	-0.205800888	0.101395541
YLL019W-A		
YCR067C	-0.141603335	0.272712838
YCR071C	0.062733063	0.784732543
YIR038C	-0.000301628	0.998881445
YER105C	-0.041507213	0.769578134
YFR047C	0.069788391	0.664224696
YOR326W	-0.070992409	0.651054764
YML013W	-0.111444551	0.618385867
YEL059W	-0.461428215	0.220263116
YER061C	0.082726576	0.647027253
YGR021W	0.006795548	0.973762477
YOL004W	-0.075382719	0.698874927
YER157W	0.084689899	0.580472852
YDL146W	-0.107670277	0.425163059
YHR064C	0.019233698	0.884773482
YBR180W	-0.209202083	0.484956447
YLR393W	-0.654167097	5.65e-05
YGR102C	0.029435264	0.891809884
YFL015W-A	0.820362139	
YER012W	0.089019333	0.724769364
YPL240C	-0.066744963	0.773135713
YGR012W	-0.124852096	0.475529444
Q0144		
tF(GAA)N	0.801903526	
YEL038W	0.070688932	0.739257409
YLR385C	-0.222595736	0.743109511
YOL019W	-0.1513331	0.447924053
YPR111W	0.028001504	0.893220204
YDL248W	0.133741758	0.663305022
tP(UGG)H		
YLR163C	0.013997297	0.927219201
YEL030W	-0.20049952	0.213239619
YLR100W	0.127728827	0.352320378
YDL043C	0.09281079	0.594448042
YOL035C	0.114603944	0.820689458
YAL001C	0.057282238	0.642136504
YLR350W	-0.069947448	0.663941596
YDL200C	0.232189665	0.077517957
YBR240C	-0.121119615	0.719487362
YPL257W-B		
YCL064C	0.057019456	0.788072527
tS(GCU)Q1		
YLR412W	0.050583071	0.785739855
YNL144W-A		
YIL105W-A		
tI(AAU)E1	0.09902907	
RPR1	0.315092326	0.177777829
YBR067C	0.068206802	0.613938369
YOR124C	-0.062295194	0.638656963
YBR143C	0.039840912	0.804745575
YMR176W	-0.035161598	0.808403088
YGR056W	-0.233054352	0.11707611
tV(AAC)G1	1.350321745	0.542696236
YOL077W-A	-0.071855514	0.860938865
YBR231C	-0.05742167	0.812873943
YHR147C	0.034683567	0.862220715
YEL020C	-0.164007628	0.263568064
YIL097W	0.113283369	0.32050745
YLR066W	0.118896064	0.514262747
YGL074C	-0.035615224	0.967959996
YIL171W	0.225944698	0.804745575
YKR053C	0.075773911	0.715463425
YMR319C	0.359282281	3.48e-05
YCR012W	0.055311915	0.845222236
YBR282W	-0.000782776	0.997778227
YDR279W	0.190432979	0.072966119
YJR017C	-0.0057086	0.985726201
YGR188C	0.216409762	0.330644524
YAR073W	0.104792373	0.944933063
YJL166W	-0.091872184	0.725333254
tT(UGU)G1		
YOL111C	-0.113100841	0.624399116
YDR356W	0.166439298	0.236678925
YER184C	-0.058478165	0.821999837
YNL324W	-0.038741314	0.988106983
YGL113W	-0.156542348	0.432649354
tD(GUC)Q		
YKL015W	-0.075497353	0.68722908
YGR155W	-0.099511612	0.33960752
YLL018C-A	-0.485088029	0.005985082
YJR007W	0.038084189	0.810975285
YPR065W	-0.066792106	0.749080461
YGL097W	-0.066461326	0.642470632
YKR015C	-0.425404558	0.007699001
YMR157C	0.10511651	0.499546966
YPL021W	0.866462338	0.574806317
YDR254W	0.075592048	0.630608391
tL(UAG)L1	0.993560693	0.005257343
YAR019C	-0.092028723	0.74874481
YGR101W	-0.242830525	0.031562677
YKL035W	0.012163417	0.948573847
YMR059W	0.201145956	0.335363688
YPL226W	-0.159116124	0.172333374
YDR143C	0.097307082	0.734786312
YPR121W	-0.149763266	0.380932559
YIL123W	-0.077131259	0.607388324
YDR049W	-0.068042916	0.736710346
YGL093W	-0.048819069	0.773368257
YBL105C	-0.023518746	0.856099616
YKL142W	0.025040122	0.920828997
YPR181C	-0.103699928	0.501861243
snR65	0.283422342	0.820012926
YMR132C	0.149214628	0.398644516
YBR174C	-3.412871604	0.11847302
YDL205C	-0.043441119	0.785739855
YHR065C	-0.018335901	0.902753074
YIL124W	0.091973011	0.57133603
YNL112W	-0.073347827	0.69318668
YIL005W	-0.19235668	0.092879566
YER071C	0.139179877	0.526339298
YBR157C	-0.145532937	0.310231898
YLR289W	-0.013423026	0.946253653
YKR058W	-0.111837704	0.308095283
YJR070C	0.043364532	0.798462887
YNR074C	0.054814234	0.803312719
YKL169C	-0.011510857	0.985726201
YER055C	0.268806831	0.002021403
YHR022C-A	1.108850239	0.006867605
YJL098W	0.002568963	0.989694767
YJR078W	-0.454131926	0.006149199
tL(CAA)C		
YKL020C	-0.152675858	0.274214798
YNL239W	-0.07105135	0.720748947
YPL247C	-0.239513198	0.176480851
YER083C	0.123877245	0.575490678
YGR098C	-0.081270594	0.670151268
YJL128C	-0.224743524	0.091081802
YBR249C	0.03407067	0.816098907
YOR148C	0.158252064	0.479466581
YER097W	-0.270744069	0.788268475
tT(AGU)I1	0.306512936	0.823211317
YIL077C	-0.066635668	0.702522116
YKL003C	0.0687688	0.782413554
YLR303W	8.664318759	4.65e-60
YDL097C	-0.036548904	0.798127494
YIL147C	-0.031626678	0.833479002
YNL226W	0.178327277	0.87774565
tN(GUU)O2	-0.60737117	
YKL089W	0.151855966	0.458603912
YDR166C	0.033859921	0.842862338
YGR106C	0.087795417	0.587952526
YPL168W	0.101358727	0.416523359
YBR155W	-0.196284485	0.268549657
YEL019C	-0.284946701	0.286081203
YNR032W	0.1276895	0.284024777
YER082C	0.098404717	0.401667939
YOL055C	-0.063912892	0.705966044
YFR017C	0.113085757	0.458603912
YHR213W		
YBL074C	-0.097020441	0.781037594
YER039C	-0.115692863	0.724769364
YNL168C	0.017812528	0.922306873
YER158W-A	0.190981367	0.609610324
YDL185C-A	-0.117104287	0.899855388
YLR451W	0.014769832	0.927022124
tD(GUC)M	0.09902907	
YBR083W	-0.192438178	0.134040978
YBL089W	0.050597918	0.762019651
YNL052W	-0.258645275	0.061272847
YPL186C	0.18826613	0.401667939
YGR097W	-0.157190541	0.275336408
YOR291W	-0.197944987	0.146535441
YBL093C	0.186671198	0.236491496
YAL064W-B	0.128987245	0.880043849
YKR092C	0.048045077	0.79352116
YJR026W		
YGR166W	-0.279600113	0.019328405
YBL091C-A	0.122057981	0.445389551
