	log2FC	FDR
tD(GUC)G2	0.754262375	0.713508678
YKL214C	0.14607596	0.380932559
YLR222C-A	-0.594311352	0.363121299
YPL092W	0.062312896	0.709086862
YBR126W-A	0.143047362	0.822417136
YGR290W	0.028935922	0.967959996
YDR159W	-0.091935721	0.560723023
YLL035W	-0.545334613	0.008562445
YMR130W	0.081827446	0.639666208
YPL236C	-0.1776564	0.224458053
YMR310C	-0.146487241	0.627360045
YKL169C	-0.011510857	0.985726201
YPR146C	0.210305317	0.465545821
YEL045C	-0.109539057	0.91421918
YER078W-A	0.75741452	0.631958204
YNL149C	0.142249161	0.771185525
YHL048C-A	1.564404027	
YPR176C	0.021469243	0.912442519
YNL025C	-0.032430381	0.884326461
YPR112C	0.039323642	0.803312719
YDR401W	0.448911338	0.76950454
YDR196C	0.101910025	0.634097765
YKL090W	-0.060117953	0.772735584
YHL047C	0.448533762	8.36e-06
YPL011C	0.045264264	0.786509001
YDL046W	0.05007249	0.770883695
YPL135W	0.243218027	0.11707611
YLR441C	0.087325075	0.860416059
YBL041W	0.076703638	0.719784891
YHR055C		
YNL032W	0.077826625	0.605161656
YDL016C	0.049742783	0.894951011
YMR142C	0.097136855	0.778357766
YNL050C	0.113169443	0.571988727
YML117W	-0.152706539	0.067612622
YEL048C	0.182094251	0.587099958
YLL020C	-0.194837933	0.680099284
YKL123W	0.16823112	0.787190635
YDR080W	0.115223652	0.398154438
YBR296C-A	0.509087096	0.224458053
YDR094W	0.052288723	0.958335214
YBR230C	-0.011692099	0.962576229
YOR161C	-0.543456679	2.15e-05
YHL023C	-0.167294619	0.300087122
YPL130W	0.061991489	0.943337721
YPR137C-A		
YBR200W-A	-0.246626193	0.787473525
YIR040C	-2.232775343	
YIR031C	-0.055196981	0.818057282
YNL097W-A		
YPL002C	0.123831149	0.432649354
YER032W	-0.131150989	0.605161656
YDR525W	0.231417768	0.908666696
YJL221C		
YKR024C	-0.106373384	0.633070004
YNL220W	0.014439521	0.927716804
YGR064W	-0.251082156	0.73695246
YHR074W	-0.002787061	0.989230522
YOL128C	0.029267031	0.893403372
YFL061W	-0.865469697	0.402473435
YOR022C	-0.083271028	0.531700426
YOR234C	0.075690806	0.830848306
YDR121W	0.16569654	0.288593562
YOL013W-B	1.202374631	0.079448196
YOR255W	-0.257953831	0.812873943
YBR206W	0.144447013	0.727337041
YHR016C	-0.049997008	0.812873943
YIL057C	0.519815608	0.000169507
YAL003W	-0.012114333	0.955399393
YFR023W	-0.078338961	0.776769353
YBR029C	-0.220086361	0.085749084
YPR135W	-0.215384321	0.129629597
YKL222C	-0.122012629	0.545700274
YDR258C	-0.098495982	0.513534184
YHR014W	-0.043723257	0.915299805
YER071C	0.139179877	0.526339298
YLL001W	-0.261971475	0.003529587
YER081W	0.21008339	0.19808758
YOR159C	0.082816043	0.789562142
YDR325W	-0.0473963	0.782024766
YOL052C	-0.133825042	0.331500418
tE(UUC)Q		
YLR326W	-0.168258371	0.310085228
YER056C-A	0.069800905	0.838344147
YDR147W	0.03102209	0.884326461
YDL216C	-0.080425143	0.646496017
YNL126W	0.111668106	0.542524072
YPL212C	-0.226822762	0.156220195
YMR011W	0.602495646	4.08e-14
YPR132W	0.101396548	0.787958612
YOR210W	0.115989398	0.742611294
YCL020W		
YDR480W	-0.007298829	0.981806024
YER064C	-0.01542618	0.942731836
YJL037W	0.671524762	1.15e-05
YDL133C-A	0.211998775	0.736534876
YCR071C	0.062733063	0.784732543
YDR249C	0.000446741	0.998672838
YGR026W	0.084334734	0.569801828
YDR425W	-0.246291004	0.19632916
YKR019C	-0.152185573	0.431815082
LSR1	-0.321328073	0.244587532
YGR202C	-0.172636922	0.103798465
YGR109W-B	-0.261347196	0.311823753
YGR031C-A		
YOL094C	0.003858508	0.988106983
tH(GUG)K	0.805879414	
tR(UCU)E		
YGR241C	-0.164422327	0.196710406
YBR174C	-3.412871604	0.11847302
YDR085C	-0.108620101	0.512611771
YBR241C	-0.049136723	0.817174625
YMR095C	0.080847164	0.818775653
YBL095W	-0.177145696	0.529123781
YKL170W	0.010583253	0.985299206
YDL193W	-0.184774147	0.226576359
YDR390C	-0.03303599	0.850743312
YIL021C-A		
YHR075C	0.057680062	0.78512545
YDR472W	0.040938477	0.82525324
YHR157W	0.282582084	0.353325138
YJR091C	-0.129464445	0.366463828
tW(CCA)K	0.515968954	0.805063048
YDR526C	0.031716078	0.985299206
YAL032C	-0.206724804	0.126854202
YKL201C	-0.191784266	0.234412174
YGL123W	0.071485362	0.791777706
YLR054C	0.299947338	0.073379795
YNL130C-A	-0.562808782	0.55474387
YCR083W	0.125257864	0.587372641
YOR360C	-0.055904632	0.714908575
YGR113W	0.03835516	0.830354941
YOL052C-A	0.020821061	0.946888331
YKL065W-A	0.020973504	0.96425031
YDL240C-A	0.569012872	0.632346881
YOL121C	0.095409081	0.770170988
YGL233W	-0.001996076	0.990390979
YFR052W	0.099902662	0.496006118
YGL188C-A	0.180731767	0.808244853
YPL090C	0.087177833	0.821165944
YNL117W	-0.369010797	0.068208796
YPL054W	-0.073414461	0.709475736
YEL050W-A	-0.008987154	0.985726201
YNL292W	0.073565132	0.597363593
YGL167C	-0.104063228	0.363631089
YKR077W	-0.507169761	0.014881196
YMR169C	-0.284958091	0.353883622
YJL210W	-0.025797994	0.907158668
YDR006C	-0.040979007	0.82807728
YBR297W	0.374764789	0.000276225
YDR346C	0.022848351	0.884567005
YNR037C	0.118002678	0.714908575
YAR060C		
YBR017C	-0.148277603	0.217093067
YNR032C-A	0.219472595	0.343054058
YAR042W	-0.001238682	0.997158951
YLR374C	-0.355227561	0.861010951
YBR156C	-0.193447741	0.551748541
YJL219W	0.62395804	0.070152288
tV(AAC)M2	0.099029023	
YDR180W	-0.018367292	0.926310535
YBR287W	-0.094793357	0.421041021
YLR163W-A		
YPL233W	0.100711127	0.603360394
YER061C	0.082726576	0.647027253
YOR383C	0.805811921	3.44e-14
YIL075C	-0.042172638	0.725333254
YHR002W	-0.092886321	0.525134547
YNL226W	0.178327277	0.87774565
YHL032C	-0.089621112	0.403639342
YBR082C	0.028454387	0.898080599
YPL023C	-0.085929274	0.540694483
YJR093C	-0.141923744	0.396890286
YOL139C	0.074845387	0.804745575
YNL288W	-0.273473966	0.072031341
YCL067C	-0.622310381	
YNL203C	-0.16487795	0.829649784
YLR410W-A		
YOR201C	-0.14538956	0.366786426
YML101C	0.143496183	0.530663504
YOR386W	0.001241614	0.995230518
YGR110W	-0.368422225	0.002614809
YEL039C	0.261199221	0.310085228
YOR078W	0.063306465	0.736577297
Q0032		
YDL155W	-0.013287927	0.938218748
YIL170W	-0.144658497	0.811936997
YIL156W	-0.149140725	0.462114318
YOR092W	0.34646936	0.045054781
YNL224C	-0.158719455	0.181192642
YHL030W-A	-0.611859604	0.640576495
snR37	-0.255249431	0.62288904
YIL117C	0.300111051	0.000791121
YLR372W	-0.006336618	0.971677272
YGL145W	0.106900078	0.44311246
YHR039C	-0.01486264	0.917217454
YPL110C	-0.225374454	0.082372322
YBR146W	0.082568585	0.626623514
YML030W	0.113123912	0.737849874
YMR311C	0.074592262	0.808403088
YJL140W	0.133496152	0.247496755
YDR329C	0.079062309	0.525134547
YJL128C	-0.224743524	0.091081802
YPL271W	-0.060245942	0.859135278
YLR257W	-0.01348543	0.964603942
YKL079W	0.08179724	0.525243516
YJR148W	0.49400681	2.41e-13
YMR298W	0.14892342	0.425163059
YLR219W	-0.077287362	0.620065776
YLR109W	0.122696518	0.591960648
YNL320W	-0.159148489	0.394834777
YGR295C	0.110289811	0.525243516
YDL125C	0.040881447	0.818775653
YER062C	-0.217047239	0.217812021
YPR076W	-1.36447572	0.336089833
YER165C-A	-0.334232727	0.626814222
YDL158C	0.096069065	0.791611198
tW(UCA)Q		
YEL071W	0.548136486	1.66e-11
tH(GUG)H		
YBR233W	-0.073712919	0.822417136
YER175C	-0.069117469	0.719913947
YGR047C	-0.070141644	0.689277419
YPL079W	0.081594211	0.820689458
YDL043C	0.09281079	0.594448042
YLR209C	0.010767824	0.958398445
YCR010C	0.992745768	1.37e-05
YHL044W	0.475350808	0.017405158
YPL159C	0.046783112	0.787190635
YOL103W-B	0.284250867	0.756370267
YKL112W	-0.275967741	0.002597829
YDR319C	0.052462091	0.78512545
YEL034C-A	-0.14102458	0.758086333
YER115C	-0.026405189	0.924630448
YOR249C	0.090929433	0.46565589
YCR027C	0.107787909	0.542696236
YPL084W	-0.238460087	0.030817208
YGL206C	-0.078847604	0.494605507
YNL212W	0.029111329	0.817693524
YNL197C	-0.241326016	0.062076245
YNL053W	-0.521323257	2.82e-06
YOR268C	0.661634883	0.626814222
YDR455C	0.005188406	0.997568753
YOR370C	0.030146299	0.837123785
YBR198C	-0.028559788	0.863283531
YGL014W	0.025211332	0.891809884
YDR379W	-0.19982007	0.041331713
YBR126W-B	0.1092571	0.820012926
YCR021C	0.092195668	0.749080461
YOR108C-A		
tK(CUU)E1	0.805888651	
YDR350C	-0.001991993	0.989634308
YDL034W	-0.077433037	0.898373698
YML060W	-0.041435903	0.881085522
YNL277W	-0.386652818	0.044965241
tT(UGU)G2	0.450363361	
