	log2fc	p-adj
TFC8	0.167704414	0.083896715
YDL180W	-0.104459294	0.173993764
HMF1	0.094256237	0.737564864
IES6	0.149746158	0.085252971
MRP13	-0.561610869	5.66e-05
SNL1	0.145850076	0.027210449
NPL3	-0.212521122	0.507360064
BIK1	0.229263069	0.042457197
SOM1	-1.255782587	0.006972312
CMC2	-1.027817284	2.68e-06
LCL2	-0.330759396	0.570176507
RPN13	-0.126295209	0.049480703
DPM1	0.235407432	0.006020745
PXA2	1.029815376	0.000888623
SEC39	0.087306168	0.013983993
RPS30A	-0.418662521	0.161864663
PDC6	0.295075751	0.005704047
VPS13	-0.004540806	0.861587674
SMC3	0.109472156	0.025167603
YOS9	0.033868886	0.476466351
GTF1	-1.355069401	1.49e-06
YDR476C	0.864685221	0.035053426
HCS1	0.113478195	0.068777308
YPR084W	0.226761739	0.005585975
INP51	0.142263262	0.028650057
NPR2	0.216086078	0.058557297
OCA2	0.432717901	4.35e-05
PET10	0.886220516	0.00261522
IDH1	-0.075906103	0.516701546
PTC2	0.05345516	0.329855049
GPI12	0.232402729	0.323704027
RPT3	0.006315533	0.85755868
CBC2	-0.085053967	0.298416763
ARO4	-0.245913804	0.080715037
YOL092W	0.007313752	0.917165744
CYM1	0.040282913	0.418547379
RPS26A	-1.234564457	0.393419191
MCM2	0.11263002	0.011451229
GPI2	-0.313020887	0.220972814
ERG25	0.454299378	0.385876519
RAD57	0.420731981	0.036332922
YJU2	-0.05659829	0.479365019
YCL012C	-0.222773456	0.003870229
SSM4	0.099112859	0.123186561
MLC2	-0.151227115	0.419307988
MXR1	0.543147454	2.37e-06
ARG8	-0.296065676	0.005181769
YKL023C-A	-0.849790335	0.00018764
SWA2	-0.02067942	0.7520967
IQG1	-0.197436672	0.376887006
ECM32	0.032743223	0.274279908
YDR132C	0.47536264	0.000995573
PEP3	0.208867442	0.069038595
PET122	-0.099766505	0.072262753
SPO73	0.302432701	0.002203449
BUR6	0.106679382	0.162029695
AOS1	-0.036228623	0.042537561
YKR023W	0.09256221	0.054641661
MAL12	0.997431024	4.29e-05
ERG13	-0.198521774	0.01725881
TOM22	-0.18078034	0.238192563
CIT3	1.80470806	0.001484991
YPR1	0.193556433	0.026530289
UBC5	-0.49249804	0.362888847
GLC7	-0.082129486	0.761344984
BUD2	0.230387701	0.006309567
FSF1	-0.998913709	0.000147939
HOM3	0.05430068	0.439280044
AIM14	0.140915469	0.10035938
LAP4	0.203974764	0.002402566
MRPL9	-1.037625816	4.62e-05
YGL117W	0.752723	0.013064853
TSC3	0.175190718	0.061572536
BDH1	-0.199634685	0.001119513
SLX5	0.026431629	0.534750679
CTR9	0.088252975	0.064362471
CKA1	0.052040783	0.650215479
SSA4	-0.164134	0.058391134
EMP47	0.094164517	0.319138682
ELG1	0.06158406	0.286091822
INM1	0.063367396	0.774998905
ULA1	0.190614844	0.017194598
ICL1	-1.428808808	0.015951269
RTF1	0.018733122	0.541056888
YNL092W	0.474267642	1.78e-05
CWC23	0.207726306	0.032386008
PRY2	1.117544949	0.295736771
SWI1	0.190883092	0.003861439
SER3	0.275484427	0.01384937
MOD5	0.172675636	0.014727494
CDC40	-0.084403637	0.356042214
UTP18	0.058251274	0.611440114
AIM31	-0.527996578	0.00122864
CAR2	0.792769139	0.000137623
PUS4	-0.099772489	0.147651775
RTT107	0.211425163	0.017886522
OXA1	-0.252384525	0.006011509
ADH3	0.419249957	0.003816941
DOC1	0.251234627	0.013329568
FAR7	0.127170734	0.136245196
SSZ1	0.003020071	0.94087287
TWF1	-0.132388337	0.143138772
GPM2	0.855690861	0.000410941
GEM1	0.048722784	0.853593403
OLA1	-0.230931939	0.022187676
RBA50	0.140615351	0.038278152
YML096W	0.066802394	0.060641135
BNI5	0.063267324	0.303001852
TIF11	-0.028911662	0.863119217
PRD1	-0.423665701	0.000984625
PHB1	-0.494574934	0.002717702
ENT1	-0.069811694	0.194635788
PEX17	0.180911991	0.001027607
COX12	-2.580895664	0.001351852
SFT1	-0.088627725	0.612415876
CDC24	0.125117019	0.065955189
NOB1	-0.206650535	0.051663458
SNX3	0.195615708	0.05128381
SOL4	0.496989589	0.007660071
ROK1	-0.034617143	0.505418465
RPL8B	-0.548194421	0.230387944
DJP1	-0.014434857	0.822440341
YBR242W	-0.186452119	0.000613569
MAK21	0.153112476	0.061189059
CNN1	0.159454329	0.03939059
RRG8	-1.737696929	2.51e-05
CBF2	0.339680322	0.000892966
PEX5	-0.13397581	0.085460154
YOR052C	-0.770876402	0.005426695
SDS24	0.519872821	0.000151969
NIP100	-0.039026419	0.531681403
LCB4	-0.357210216	8.09e-06
AEP1	-1.148575723	6.45e-05
STB4	0.033971816	0.788426846
ISW1	0.032589943	0.471206958
APE3	0.453975113	0.013542619
ADE3	0.486530525	0.001063866
YPR097W	0.291910666	0.002890931
YNR021W	0.046067759	0.644635788
INO4	0.008054487	0.935103307
TUS1	0.296952755	0.002231393
YHR112C	0.465377406	0.001504249
SOL3	-0.182234416	0.087302288
SMI1	-0.17919364	0.049804391
IMP2'	-0.074228388	0.671464643
ROG1	0.726736198	0.005729773
YDL027C	-1.35452051	1.72e-08
BGL2	0.513187345	0.151784211
RPR2	0.070788473	0.494302157
MIC17	-0.693242656	0.161114784
MSA1	0.186918941	0.058820654
GIP2	1.697871787	0.00026766
GOS1	0.008748597	0.743736902
JEN1	0.512290715	0.000262019
RRP5	-0.069901343	0.155468733
SFP1	0.251967832	0.025575827
GVP36	0.151548624	0.123375229
UTR2	-0.032487798	0.752959826
PHD1	1.202831482	0.00267013
SKM1	-0.60961941	0.012729777
NUP60	-0.028200579	0.8118177
PMD1	0.209336734	0.069649999
ESC2	0.258114845	0.134397732
GRX4	-0.618114745	0.006179554
TMA23	0.307583911	0.085716697
AIM37	-1.258292686	2.24e-05
MRP8	0.084848087	0.263991508
SAM1	-0.507854122	0.001394688
GTS1	0.00255776	0.957890033
MTR3	-0.023525863	0.310751575
RSN1	0.043500653	0.474901118
YAP3	-0.201394815	0.072021114
STE13	0.191666124	0.081628167
HIS4	1.22115341	0.001134941
GEF1	0.292398498	0.00448977
LSB5	-0.008325406	0.875429446
MPS2	0.07897966	0.537598888
OAR1	0.270751079	0.009238353
ENA1	0.53938543	0.00384763
EAF7	0.101720619	0.17275433
MET1	0.151572122	0.1758024
BPH1	0.292788137	0.006245595
UAF30	0.283672049	0.011435692
TRS33	0.167249112	0.0307621
RHB1	0.118569812	0.296511763
RPL31A	-0.415749115	0.113746595
YPL245W	-0.562485924	0.000117117
OCH1	-0.228733714	0.00787532
AKR2	0.423018694	0.001249936
RFS1	-1.8e-05	0.999618217
YOX1	-0.479300839	0.000768822
DBP7	0.0923643	0.219216547
ALG9	0.274526383	0.026188329
ECM33	-0.402108675	0.042985197
YER010C	0.125199392	0.476904497
BIO2	0.14590575	0.109039929
SIM1	0.695228843	0.276634962
SHS1	-0.202048197	0.073409886
ECM25	-0.175224854	0.224834614
YEA6	-0.272257036	0.012996075
GPI10	0.173477152	0.047276638
CTF18	0.043777018	0.55466378
PER1	0.124012921	0.256084894
YHI9	0.337698887	0.000404124
MDR1	0.187478961	0.010850359
YAT1	0.477700802	0.019948984
SEC27	-0.054551433	0.344053861
PKP2	-0.7215758	2.41e-06
SCO1	0.126050924	0.073711836
YGR201C	0.973984392	0.004688167
ALG8	0.293771204	0.004213476
TID3	0.152884723	0.133239148
GTB1	0.313667086	0.000505501
SED4	0.279256686	0.001496456
MTC3	-0.840608726	0.000172971
SMY1	0.129875411	0.143549859
CRM1	0.068333644	0.09049609
YPT1	0.186722856	0.110568371
EXO84	0.086230585	0.464126342
YEF1	0.1961618	0.265729588
YPR127W	0.149749886	0.00627636
HSK3	-0.234613204	0.425736561
CCL1	-0.06613505	0.488050348
DAS1	0.03590732	0.343108314
YSP3	0.560260349	0.189537911
CAF120	0.192127444	0.030159028
THG1	0.378824192	0.145813579
ERS1	-0.071466366	0.146463355
SPG4	0.799731517	0.145569364
ATP3	-1.56501985	2.47e-05
GUK1	0.043836841	0.208318563
SUC2	0.991661667	3e-05
ZIM17	-0.173992515	0.370307829
SSN8	0.074959686	0.621384697
YJL132W	0.339080375	0.034471622
ERP4	0.280373547	0.007759935
YMD8	0.062261755	0.768458816
CRN1	-0.057837122	0.455757291
NUP192	0.065868393	0.100671376
YMR253C	-0.089953836	0.463552254
MNS1	0.249717037	0.016661492
PLP2	-0.054668738	0.55256188
CCS1	0.209483869	0.162223563
YLR413W	0.586329208	0.004579788
EAR1	-0.106110754	0.14388896
YEL025C	0.499093413	0.06247142
MMT1	-0.591199373	0.005104832
TRM5	0.049949695	0.161631657
PRS1	-0.071111668	0.393773923
FAS1	-0.54360468	9.8e-05
RPB3	0.13069821	0.627661766
SGF29	0.246425492	0.020028726
APN1	0.06165245	0.149101837
CMD1	0.482191104	0.039794873
YBL107C	-0.16690816	0.569812065
SRN2	0.256316397	0.016286905
VIP1	-0.048954786	0.188046655
HBS1	0.162134441	0.05907011
SAY1	0.033741139	0.605357708
SYS1	0.327608676	0.032543209
GPH1	-0.103033903	0.076463401
SEC16	-0.070412766	0.26714407
MTQ2	0.482935157	0.005528078
ARE2	0.811962746	0.000548161
YHC1	0.057799344	0.921161101
SEN54	0.013902517	0.834256399
ANB1	2.749713415	0.007215587
BRN1	0.049888681	0.404538059
ATG13	0.188624242	0.06282683
THR4	0.165425836	0.014952609
GFA1	-0.106642734	0.263844747
YPT32	0.29649084	0.050110336
EMP46	0.488657237	0.000384112
RPL15B	-0.019638524	0.97480329
NIP1	-0.131280259	0.077774273
YLR312C	0.330964411	0.020014306
UFO1	-0.01471997	0.870107664
MED11	-0.087485712	0.396603368
ASK10	0.237897825	0.015295383
UBC7	-0.055972941	0.193839048
ART10	0.327957075	0.005046212
HOM6	0.164005439	0.063349224
HUA2	0.192014878	0.067523465
ASM4	0.006496211	0.881241439
TLG1	-0.083639617	0.172640225
HAT1	0.312287994	0.001510191
LCB5	0.201878847	0.01293666
TES1	-0.27544639	0.049444229
PIB2	-0.08771448	0.403488509
PRP21	0.323318659	0.036784505
GAB1	0.095236508	0.4151208
RTC6	-1.076199793	0.170277284
CLB1	-0.128704692	0.022237978
