refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR1583766	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, high pi, 0 min		pho85_DaMP, high Pi, 0 min	
SRR1583767	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 15 min		pho85_DaMP, no Pi, 15 min	
SRR1583768	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 30min		pho85_DaMP, no Pi, 30min	
SRR1583769	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 45 min		pho85_DaMP, no Pi, 45 min	
SRR1583770	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 60 min		pho85_DaMP, no Pi, 60 min	
SRR1583773	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 105 min		pho85_DaMP, no Pi, 105 min	
SRR1583774	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 120 min		pho85_DaMP, no Pi, 120 min	
SRR1583775	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 135 min		pho85_DaMP, no Pi, 135 min	
SRR1583776	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 150 min		pho85_DaMP, no Pi, 150 min	
SRR1583777	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 165 min		pho85_DaMP, no Pi, 165 min	
SRR1583778	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 180 min		pho85_DaMP, no Pi, 180 min	
SRR1583779	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 195 min		pho85_DaMP, no Pi, 195 min	
SRR1583780	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 210 min		pho85_DaMP, no Pi, 210 min	
SRR1583781	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 225 min		pho85_DaMP, no Pi, 225 min	
SRR1583782	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 240 min		pho85_DaMP, no Pi, 240 min	
SRR1583783	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 255 min		pho85_DaMP, no Pi, 255 min	
SRR1583784	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 270 min		pho85_DaMP, no Pi, 270 min	
SRR1583785	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 285 min		pho85_DaMP, no Pi, 285 min	
SRR1583786	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 300 min		pho85_DaMP, no Pi, 300 min	
SRR1583787	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 315 min		pho85_DaMP, no Pi, 315 min	
SRR1583788	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 330 min		pho85_DaMP, no Pi, 330 min	
SRR1583789	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 345 min		pho85_DaMP, no Pi, 345 min	
SRR1583790	SRP047413							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA		pho85_damp, no pi, 360 min		pho85_DaMP, no Pi, 360 min	
