index	condition	id	name	collapsed	reactants	products	modifiers	additional_components	magnitude_change	source_p_value	target_p_value	averaged_p_value
0	0	reaction_10903429	PXLP-K357-ABAT dimer:2Fe-2S transforms GABA to SUCCSA	undefined	GABA,alpha-ketoglutarate	Glutamate,SUCCSA	PXLP-K357-ABAT dimer:2Fe-2S,catalyst	P17649,YGR019W,CHEBI:33739	1.112794894	0.309423425	0.023994311	0.23422066959859789
1	0	reaction_10894544	ornithine + alpha-ketoglutarate <=> glutamate + L-glutamate gamma-semialdehyde [OAT]	undefined	L-Orn,alpha-ketoglutarate	Glutamate,L-Glu5S	OAT hexamer,catalyst	P07991,YLR438W	1.112794894	0.309423425	0.023994311	0.23422066959859789
2	0	reaction_10903176	a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate <=> leu, ile, or val + alpha-ketoglutarate [BCAT1]	undefined	Glutamate,KIC,KMVA,KIV	Leu, Ile, Val,alpha-ketoglutarate	BCAT1 dimer,catalyst	CHEBI:28654,CHEBI:16530,CHEBI:17865,CHEBI:57762,species_29588,CHEBI:58045,P47176,YJR148W,P38891,YHR208W	1.108618251	0.023994311	0.309423425	0.5302918747105532
3	0	reaction_10903393	kynurenine + 2-oxoglutarate => 4-(2-aminophenyl)-2,4-dioxobutanoic acid + glutamate	undefined	L-KYN,alpha-ketoglutarate	APDBA,Glutamate	AADAT dimer,catalyst	P53090,YGL202W,P38840,YHR137W	1.112794894	0.309423425	0.023994311	0.23422066959859789
4	0	reaction_10894484	GOT2 dimer deaminates L-Asp	undefined	alpha-ketoglutarate,Aspartate	Glutamate,OAA	GOT2 dimer,catalyst	Q01802,YKL106W	1.0885434435	0.142021774	0.023994311	0.27667289675516643
5	0	reaction_10894600	leu, ile, or val + alpha-ketoglutarate <=> a-ketoisocaproate, a-keto-b-methylvalerate, or a-ketoisovalerate + glutamate [BCAT2]	undefined	alpha-ketoglutarate,Leu, Ile, Val	KIC, KMVA, KIV,Glutamate	BCAT2 dimer,catalyst	CHEBI:57762,species_29588,CHEBI:58045,CHEBI:28654,CHEBI:16530,CHEBI:17865,P38891,YHR208W	1.108618251	0.309423425	0.023994311	0.5302918747105532
6	0	reaction_10903178	alpha-ketoadipate + glutamate <=> alpha-aminoadipate + alpha-ketoglutarate	undefined	aKADA,Glutamate	alpha-ketoglutarate,2AMA	AADAT dimer,catalyst	P53090,YGL202W,P38840,YHR137W	1.112794894	0.023994311	0.309423425	0.23422066959859789
7	0	reaction_10894513	GOT2 transaminates oxaloacetate and glutamate	undefined	Glutamate,OAA	alpha-ketoglutarate,Aspartate	GOT2 dimer,catalyst	Q01802,YKL106W	1.0885434435	0.023994311	0.142021774	0.27667289675516643
8	0	reaction_10894471	oxaloacetate + glutamate <=> aspartate + alpha-ketoglutarate [GOT1]	undefined	OA,Glutamate	Aspartate,alpha-ketoglutarate	PXLP-K259-GOT1 dimer,catalyst	P23542,YLR027C	1.0885434435	0.023994311	0.142021774	0.27667289675516643
9	0	reaction_10894473	PXLP-K259-GOT1 transaminates alpha-ketoglutarate and aspartate	undefined	alpha-ketoglutarate,Aspartate	OA,Glutamate	PXLP-K259-GOT1 dimer,catalyst	P23542,YLR027C	1.0885434435	0.142021774	0.023994311	0.27667289675516643
10	0	reaction_10896512	PNP catalyzes the conversion of (deoxy)inosine to hypoxanthine and (deoxy)ribose	undefined	Pi,Ino, dI	Hypoxanthine,R1P, dRibP	PNP trimer,catalyst	CHEBI:17596,CHEBI:28997,species_112016,CHEBI:58576,Q05788,YLR209C	1.4439186190000002	0.052712799	0.276087319	0.32792592356978784
11	0	reaction_10903802	PXLP-K200-PSAT1 dimer transfers amino group from L-Glu to 3POPA	undefined	Glutamate,3POPA	O-P-Ser,alpha-ketoglutarate	PXLP-K200-PSAT1 dimer,catalyst	P33330,YOR184W	1.112794894	0.023994311	0.309423425	0.23422066959859789
