refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
ERR1720587	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Wildtype Sacchromyces cerevisiae	
ERR1720588	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Wildtype Sacchromyces cerevisiae	
ERR1720589	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Wildtype Sacchromyces cerevisiae	
ERR1720590	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Wildtype Sacchromyces cerevisiae	
ERR1720591	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720592	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720594	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720595	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720596	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720597	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720598	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720599	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720600	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720601	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720602	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720603	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720604	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720605	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720606	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720607	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720608	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720609	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720610	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720611	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720612	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720613	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720615	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720616	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
ERR1720617	ERP019558							SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA				Sacchromyces cerevisiae with UV mutagenesis	
