	log2fc	p-adj
stearic acid	-0.277838822	0.032109113
homoserine	0.159452671	0.087592179
methionine	0.191338859	0.094225561
proline	0.439027613	0.000637014
phosphoethanolamine	0.529420778	0.00516007
glutamine	-0.198369384	0.206112641
phenylethylamine	-0.298932719	0.145907181
conduritol beta epoxide	0.036994545	0.851132506
valine	0.01939655	0.765924786
arabitol	0.497203995	4.33e-05
pentadecanoic acid	-0.276059154	0.007486567
arachidonic acid	0.590467272	0.005027144
azelaic acid	-0.295670818	0.059058275
succinic acid	0.43302502	0.04654239
fucose-rhamnose	1.083475984	0.000752443
pyrophosphate	-0.041297457	0.720539197
octadecane-1,12-diol	-0.192029528	0.054898268
2-monopalmitin	-0.23889284	0.304778309
maleimide	0.064924663	0.608338587
isothreonic acid	0.305557671	0.02014056
dihydroabietic acid	0.120499967	0.527736334
oleic acid	-0.096633237	0.418829752
glyceric acid	0.500730719	0.000144083
nicotinamide	0.477855672	0.000102797
cystine	-0.240817155	0.118751843
inosine	0.024216747	0.842693738
pelargonic acid	-0.272110615	0.005920376
stigmasterol	-0.065649679	0.539949183
ribitol	0.857462879	7.65e-09
cysteine	0.676315159	2.28e-06
linoleic acid	0.120613475	0.430583649
fructose 1 phosphate	-0.03126975	0.778714078
methionine sulfoxide	-0.841770145	0.024643156
fructose-6-phosphate	-0.311709863	0.138816055
glycerol	0.305653692	0.001225158
digalacturonic acid	0.020673211	0.907346528
glycocyamine	0.22745698	0.044128412
fucose	0.534858519	0.01128446
UDP-GlcNAc	1.176163198	1.94e-07
Inosine 5'-monophosphate	1.785125709	0.000214923
N-methylalanine	0.208393874	0.062792075
trans-4-hydroxyproline	0.305911257	0.001126476
4-hydroxybutyric acid	0.37402911	0.013627837
triethanolamine	-0.416771708	0.016322219
5-methoxytryptamine	0.098300907	0.594978747
3-phosphoglycerate	-1.085793749	0.001044686
sorbitol	-1.013775504	0.100168575
threonic acid	0.270722764	0.045432899
guanine	-0.094394699	0.471141775
3-aminoisobutyric acid	-0.179596171	0.268788057
putrescine	0.184698885	0.330032371
4-hydroxyproline	0.810800109	0.130631782
ornithine	-0.84810783	3.22e-08
icosenoic acid	-0.042541432	0.784226267
gamma-tocopherol	0.221425414	0.274201373
lysine	-1.374980178	0.000172834
uridine-5'-monophosphate	0.171677212	0.396491195
fumaric acid	0.09684086	0.361250699
1-monopalmitin	0.156225142	0.161169378
threitol	-0.107031561	0.317372193
uridine	-0.522203945	0.008806056
2-aminoadipic acid	0.225515399	0.483128876
citrulline	-0.571123868	2.75e-05
thymine	0.20656932	0.077953621
hydroxycarbamate	-0.090628653	0.323823535
mannitol	-0.453376646	0.018689217
adenosine	0.246673065	0.405494406
2-hydroxybutanoic acid	-0.109106932	0.447496463
threonine	0.132890555	0.037324103
ribonic acid	-0.001960394	0.994850173
caprylic acid	-0.360573208	0.00033643
tagatose	-0.421681013	0.000117947
adenosine-5-phosphate	1.310849716	0.000228557
trehalose	0.189363463	0.55251835
2-ketoisocaproic acid	-0.21543181	0.142382123
phenylpyruvic acid	0.072128051	0.399951132
uracil	0.540644717	0.002572302
arabinose	0.254745248	0.003086555
2-phenylpropanol	-0.27239264	0.026710246
histidine	-0.630702184	9.26e-05
arachidic acid	-1.812035424	0.184040778
glycolic acid	-0.002013729	0.974237568
glucose-6-phosphate	-0.227126041	0.201725301
cysteine-glycine	-0.209360155	0.211915674
indole-3-lactate	0.19253182	0.170232153
ribose	-0.034321029	0.830872396
malic acid	0.390367866	0.007328161
gluconic acid	-0.991490549	0.003750501
lauric acid	-0.208178192	0.079279578
oxoproline	0.212251017	0.007684847
erythronic acid	0.314420281	0.002795622
dihydrosphingosine	-0.597481192	0.002385164
