	log2fc	p-adj
thymine	0.20656932	0.077953621
uracil	0.540644717	0.002572302
glucose	-1.093726866	5.81e-07
fucose	0.534858519	0.01128446
fructose 1 phosphate	-0.03126975	0.778714078
gluconic acid	-0.991490549	0.003750501
citrulline	-0.571123868	2.75e-05
methionine sulfoxide	-0.841770145	0.024643156
sucrose	-0.448700225	0.209459129
2-monopalmitin	-0.23889284	0.304778309
levoglucosan	-0.16877771	0.36948541
taurine	0.388917561	0.003907708
aminomalonic acid	0.329336564	0.001366352
asparagine	0.231201015	0.004191927
fructose-6-phosphate	-0.311709863	0.138816055
serine	-0.030029659	0.694785594
glycocyamine	0.22745698	0.044128412
acetophenone	-0.418884658	0.025601646
238267 trisaccharide	0.601411342	0.03931121
arachidonic acid	0.590467272	0.005027144
alanine	0.294946874	0.00095755
maltose	0.139330386	0.6438136
leucine	0.184717538	0.08066356
ribonic acid	-0.001960394	0.994850173
succinic acid	0.43302502	0.04654239
UDP-GlcNAc	1.176163198	1.94e-07
xylitol	0.519232882	4.77e-05
lysine	-1.374980178	0.000172834
myo-inositol	0.023029596	0.803432611
digalacturonic acid	0.020673211	0.907346528
phenylpyruvic acid	0.072128051	0.399951132
valine	0.01939655	0.765924786
shikimic acid	0.230208529	0.075351591
isoleucine	0.243870183	0.004716428
maltotriose	0.007200986	0.981451698
oxalic acid	-0.017655617	0.876422832
biuret	-0.697971463	0.001443451
