refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR5312432	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312433	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312434	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312435	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312436	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312437	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312438	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312439	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312440	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312441	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312442	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
SRR5312443	SRP101370				gfp reporter construct			SACCHAROMYCES_CEREVISIAE	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True				SRA	gresham lab			GFP reporter construct from Saccharomyces cerevisiae	
