	log2fc	p-adj
phenylalanine	0.190696526	0.071881265
octadecanol	-1.049022285	0.193864474
azelaic acid	-0.295670818	0.059058275
2-ketoisocaproic acid	-0.21543181	0.142382123
erythronic acid lactone	-0.556876905	0.001613925
dodecanol	-0.354274066	0.000271477
capric acid	-0.237370118	0.011714321
pyrophosphate	-0.041297457	0.720539197
maltotriose	0.007200986	0.981451698
caprylic acid	-0.360573208	0.00033643
stigmasterol	-0.065649679	0.539949183
dihydroabietic acid	0.120499967	0.527736334
4-hydroxyproline	0.810800109	0.130631782
inosine	0.024216747	0.842693738
urea	0.052125115	0.58452693
ascorbic acid	0.643063458	0.33327226
valine	0.01939655	0.765924786
phosphoric acid	0.21577	0.056344272
guanine	-0.094394699	0.471141775
xanthosine	0.120409437	0.411862051
cysteine	0.676315159	2.28e-06
digalacturonic acid	0.020673211	0.907346528
erythronic acid	0.314420281	0.002795622
malic acid	0.390367866	0.007328161
5,6-dihydrouracil	1.09017364	3.77e-06
lysine	-1.374980178	0.000172834
1-monopalmitin	0.156225142	0.161169378
isothreonic acid	0.305557671	0.02014056
FAD	0.242577147	0.023686914
icosenoic acid	-0.042541432	0.784226267
fructose	0.045623934	0.824893923
adipic acid	-0.327964345	0.073973389
cholesterol	-0.084534355	0.390626488
quinic acid	-0.362192381	0.457769051
taurine	0.388917561	0.003907708
indole-3-lactate	0.19253182	0.170232153
methanolphosphate	0.189991771	0.1592688
3-phosphoglycerate	-1.085793749	0.001044686
fructose 1 phosphate	-0.03126975	0.778714078
adenine	0.541532966	0.000600989
threonic acid	0.270722764	0.045432899
myo-inositol	0.023029596	0.803432611
fucose-rhamnose	1.083475984	0.000752443
adenosine	0.246673065	0.405494406
glucose-6-phosphate	-0.227126041	0.201725301
thymine	0.20656932	0.077953621
UDP-GlcNAc	1.176163198	1.94e-07
tyrosine	0.117537347	0.22595173
sorbitol	-1.013775504	0.100168575
citrulline	-0.571123868	2.75e-05
glycine	0.152524171	0.019439377
uracil	0.540644717	0.002572302
erythritol	-0.054408773	0.543898423
glucuronic acid	-0.044546439	0.672488974
trehalose	0.189363463	0.55251835
