	log2fc	p-adj
spermidine	-0.55962869	3.12e-05
indole-3-lactate	0.19253182	0.170232153
ribonic acid	-0.001960394	0.994850173
alanine	0.294946874	0.00095755
biuret	-0.697971463	0.001443451
urea	0.052125115	0.58452693
glycerol-alpha-phosphate	0.228439153	0.37885545
taurine	0.388917561	0.003907708
guanosine	-0.048105277	0.690494855
pyrophosphate	-0.041297457	0.720539197
inosine	0.024216747	0.842693738
lauric acid	-0.208178192	0.079279578
ribitol	0.857462879	7.65e-09
arabinose	0.254745248	0.003086555
proline	0.439027613	0.000637014
phenylpyruvic acid	0.072128051	0.399951132
triethanolamine	-0.416771708	0.016322219
5'-deoxy-5'-methylthioadenosine	0.840279807	0.001734452
glucose	-1.093726866	5.81e-07
threonine	0.132890555	0.037324103
2-aminoadipic acid	0.225515399	0.483128876
quinic acid	-0.362192381	0.457769051
ribose	-0.034321029	0.830872396
sucrose	-0.448700225	0.209459129
histidine	-0.630702184	9.26e-05
1,5-anhydroglucitol	-0.338344248	0.040022875
ascorbic acid	0.643063458	0.33327226
erythritol	-0.054408773	0.543898423
galactose-6-phosphate	-0.163492098	0.237908294
valine	0.01939655	0.765924786
asparagine	0.231201015	0.004191927
maleimide	0.064924663	0.608338587
myo-inositol	0.023029596	0.803432611
kynurenine	-0.349060539	0.110070081
stigmasterol	-0.065649679	0.539949183
3-phosphoglycerate	-1.085793749	0.001044686
mannose	-0.266642053	0.156550618
