	log2fc	p-adj
isothreonic acid	0.305557671	0.02014056
glutamic acid	0.47031405	1.48e-06
malic acid	0.390367866	0.007328161
urea	0.052125115	0.58452693
3-phenyllactic acid	0.541229259	0.125342052
2-aminoadipic acid	0.225515399	0.483128876
trans-4-hydroxyproline	0.305911257	0.001126476
1-monostearin	-0.226174471	0.028190959
4-hydroxybutyric acid	0.37402911	0.013627837
gamma-tocopherol	0.221425414	0.274201373
Inosine 5'-monophosphate	1.785125709	0.000214923
oleic acid	-0.096633237	0.418829752
1,5-anhydroglucitol	-0.338344248	0.040022875
phosphoric acid	0.21577	0.056344272
biuret	-0.697971463	0.001443451
3-aminoisobutyric acid	-0.179596171	0.268788057
cytidine-5-monophosphate	0.769034459	0.003001838
guanosine	-0.048105277	0.690494855
shikimic acid	0.230208529	0.075351591
Cytidine-5'-diphosphate	0.01012597	0.943991378
alpha ketoglutaric acid	-0.016819815	0.912947397
pipecolic acid	0.160682406	0.035275268
lysine	-1.374980178	0.000172834
leucine	0.184717538	0.08066356
pantothenic acid	-0.129979077	0.366057286
methionine	0.191338859	0.094225561
maltotriose	0.007200986	0.981451698
allantoic acid	-0.664780978	0.000878199
pelargonic acid	-0.272110615	0.005920376
mannose	-0.266642053	0.156550618
linoleic acid	0.120613475	0.430583649
ascorbic acid	0.643063458	0.33327226
5-aminovaleric acid	0.685248295	0.286770074
succinic acid	0.43302502	0.04654239
glycolic acid	-0.002013729	0.974237568
oxalic acid	-0.017655617	0.876422832
creatinine	0.457780741	0.033670609
