	log2fc	p-adj
uracil	0.540644717	0.002572302
myo-inositol	0.023029596	0.803432611
hydroxycarbamate	-0.090628653	0.323823535
dodecanol	-0.354274066	0.000271477
alpha ketoglutaric acid	-0.016819815	0.912947397
phosphoric acid	0.21577	0.056344272
shikimic acid	0.230208529	0.075351591
alpha-tocopherol	1.136906245	4.82e-06
icosenoic acid	-0.042541432	0.784226267
sucrose	-0.448700225	0.209459129
arachidonic acid	0.590467272	0.005027144
threonic acid	0.270722764	0.045432899
pentadecanoic acid	-0.276059154	0.007486567
2-hydroxybutanoic acid	-0.109106932	0.447496463
behenic acid	-0.106513606	0.38230308
oxalic acid	-0.017655617	0.876422832
tyrosine	0.117537347	0.22595173
beta-alanine	-0.081472043	0.535769412
azelaic acid	-0.295670818	0.059058275
tryptophan	-0.336943839	0.114903154
allantoic acid	-0.664780978	0.000878199
hypoxanthine	0.170246109	0.108933753
3-hydroxybutanoic acid	-0.122650042	0.679065143
histidine	-0.630702184	9.26e-05
isoheptadecanoic acid	-0.100644334	0.261276097
cysteine	0.676315159	2.28e-06
kynurenine	-0.349060539	0.110070081
putrescine	0.184698885	0.330032371
xanthosine	0.120409437	0.411862051
5-methoxytryptamine	0.098300907	0.594978747
5-aminovaleric acid	0.685248295	0.286770074
caprylic acid	-0.360573208	0.00033643
N-acetyl-D-mannosamine	0.468630833	0.000183534
citric acid	-0.636298204	0.000501045
myristic acid	-0.126354716	0.152408467
ribitol	0.857462879	7.65e-09
methionine	0.191338859	0.094225561
