	log2fc	p-adj
3-hydroxybutanoic acid	-0.122650042	0.679065143
alpha-tocopherol	1.136906245	4.82e-06
quinic acid	-0.362192381	0.457769051
lauric acid	-0.208178192	0.079279578
aspartic acid	-0.004127796	0.958151282
tryptophan	-0.336943839	0.114903154
inositol-4-monophosphate	-0.419143754	0.029044532
cysteine-glycine	-0.209360155	0.211915674
dodecanol	-0.354274066	0.000271477
myristic acid	-0.126354716	0.152408467
ribose	-0.034321029	0.830872396
thymine	0.20656932	0.077953621
3-phosphoglycerate	-1.085793749	0.001044686
1-monopalmitin	0.156225142	0.161169378
stearic acid	-0.277838822	0.032109113
1-monostearin	-0.226174471	0.028190959
N-methylalanine	0.208393874	0.062792075
maltotriose	0.007200986	0.981451698
