	log2FC	FDR
YLR156C-A		
YOR192C-C	-0.089762127	0.93949034
YDL140C	-0.025783281	0.867691002
YDR405W	0.083638142	0.734530312
YCL005W-A	0.118038189	0.755321166
YMR037C	-0.41801919	0.024179613
YGR136W	-0.140734379	0.511695432
YLR226W	-0.202773552	0.379563289
YFL038C	0.103691839	0.735732728
YIL142C-A	-0.333016259	0.791777706
YOR110W	-0.174506663	0.111095522
YGR207C	0.086656559	0.695820995
YOL035C	0.114603944	0.820689458
YOR383C	0.805811921	3.44e-14
YCR043C	0.052846354	0.830354941
YDR040C	0.492007416	0.025690586
YMR232W	0.014684341	0.973320647
YER068C-A	0.311013357	
YER186C	-0.201663797	0.056499077
YLR217W	-0.329046143	0.804348696
YMR118C	0.478067981	3.39e-05
YJR080C	-0.238482435	0.030023932
YPL141C	-0.003098758	0.99174829
YBR061C	0.09584171	0.499793066
YGR203W	-0.076551951	0.772735584
YER171W	-0.059163599	0.689595856
YLR138W	-0.086259985	0.469926413
YHR180W-A	-0.035933801	0.988106983
YOR327C	0.093861128	0.687201786
YJR041C	-0.184170955	0.244792913
YDR340W	0.889828208	0.286623037
YIL039W	-0.059023997	0.687966103
YMR298W	0.14892342	0.425163059
YLR384C	0.04317835	0.767734104
YOR014W	-0.158684061	0.049930074
YML060W	-0.041435903	0.881085522
YKL134C	-0.443832877	9.28e-07
YLR350W	-0.069947448	0.663941596
YMR263W	-0.007069281	0.977961066
YNL083W	-0.094980252	0.546753122
YDL123W	-0.045650417	0.881651687
YFL030W	-1.044371451	3.68e-34
YDL160C	-0.189147088	0.11606966
tR(UCU)M2	-0.905616349	
YDL197C	-0.20416432	0.243960786
YJL130C	0.069605541	0.512611771
YOR394W		
YJR138W	-0.195720857	0.107303583
YIL174W		
YDR411C	0.010409858	0.958335214
YPL002C	0.123831149	0.432649354
YIL061C	-0.411624654	0.006818545
snR37	-0.255249431	0.62288904
YPL034W	0.106037779	0.687966103
YMR155W	0.058401973	0.718075784
YBR024W	0.075519039	0.651948745
YMR063W	-0.287554553	0.233073523
RME3		
YKL017C	-0.28413565	0.018824924
YMR161W	-0.00671507	0.977961066
YLR182W	-0.024957598	0.893403372
PWR1		
YLR259C	-0.051686922	0.698518462
YKL150W	-0.059872286	0.787588121
YMR120C	0.343705148	3.85e-05
YLL062C	-0.091736909	0.698874927
YDL130W	0.045053802	0.833795813
YHL015W	0.101756001	0.866808221
YOR322C	-0.06817342	0.766960727
YGL076C	0.060108078	0.835281194
YOL125W	-0.054919569	0.788268475
YKR054C	0.039319588	0.798462887
YOR122C	0.091820164	0.735167994
YJL180C	0.059622252	0.724608068
YJR154W	-0.075704215	0.88205001
snR44	-0.07721379	0.81324345
YGL044C	0.024102145	0.904783734
YNL230C	-0.248433334	0.216459648
YMR206W	0.163761984	0.129629597
YMR271C	0.209682772	0.244263189
YML017W	-0.195097066	0.122545148
YLR202C	-0.02911094	0.9607046
YKL144C	0.121276615	0.495450493
YHL014C	0.128387564	0.34071298
tC(GCA)G	0.099029023	
YOR140W	-0.427451971	0.033952902
tK(CUU)I		
YDL183C	-0.077300697	0.715463425
YPR107C	0.089201533	0.638656963
YBR273C	-0.090120299	0.513301169
YOR046C	0.045412345	0.731244037
YLR017W	0.115868786	0.322541246
YKL091C	0.108286276	0.462114318
YLR236C	-0.094237375	0.886925771
tD(GUC)O	0.813537174	0.664150092
YIL035C	0.04738444	0.760103912
YFL017C	0.050956161	0.810339678
YBR246W	-0.236668634	0.121317065
YGL055W	-0.075141273	0.695503773
YPL048W	0.053598391	0.754593898
YOR209C	-0.054968991	0.691600193
YLR307C-A	0.264760685	0.547533372
snR66	0.119485512	0.877803601
YDL218W	0.773132909	1.05e-05
YGR100W	-0.034204229	0.794763091
YER137C	0.235900465	0.353604603
tG(CCC)O	1.414188526	
