	log2FC	FDR
YNL166C	-0.069411846	0.631958204
YER172C-A	0.820362139	
YIR040C	-2.232775343	
YFL062W	-0.899715452	0.603764973
YOR230W	0.094855379	0.371086451
YPR158W-B	0.276732051	0.879032362
YNL146C-A	0.243841868	0.742043022
YOR312C	0.121141237	0.822417136
YER118C	0.091001347	0.559026031
YOR095C	-0.029868401	0.856458066
YLL061W	0.089861301	0.756370267
YOR211C	-0.109843025	0.444029449
YOL072W	-0.232540706	0.143037129
YHR062C	-0.159556671	0.421761891
YOR132W	-0.22187082	0.040191267
YDR175C	0.064469617	0.715650327
YJR150C	1.080433243	0.002215029
YDR452W	0.016259789	0.897244667
YDR076W	0.291239726	0.035129178
tS(AGA)G	0.099028956	
tG(GCC)E	0.099028593	
YER140W	0.12120792	0.375261175
YNL117W	-0.369010797	0.068208796
YMR065W	0.041907179	0.821965211
YDR463W	-0.126174739	0.458603912
YER146W	0.101925182	0.798998434
YLR305C	-0.047510299	0.736121091
YLR113W	-0.020857564	0.892248976
YKL095W	-0.021990201	0.915422513
YML073C	0.090960308	0.756370267
YIL139C	0.088875313	0.65579081
YER130C	-0.49474833	2.62e-06
YGL054C	0.023228957	0.922003576
YCL052C	0.008407906	0.958892749
YER065C	-0.472511226	0.000195111
YGR046W	-0.021817975	0.883636314
YLR421C	0.043718399	0.882135299
YMR184W	-0.009113073	0.967959996
YDR063W	0.089399679	0.719487362
YPL186C	0.18826613	0.401667939
YDR280W	0.050693185	0.737513485
YHL014C	0.128387564	0.34071298
YGL106W	0.113185224	0.667355358
YLR423C	0.050423105	0.785715274
tM(CAU)C		
RDN18-2		
YNL183C	-0.236786581	0.186969087
YER032W	-0.131150989	0.605161656
YHR180W	0.154097705	0.409750044
YOR018W	-0.083352841	0.731244037
tV(AAC)G1	1.350321745	0.542696236
YPL007C	-0.079628412	0.663008831
YDL068W	-0.006074802	0.995230518
YNL179C	0.142115929	0.764712979
tK(UUU)G1	0.820362139	
YLR290C	0.085618357	0.608342888
YDR171W	0.004978704	0.982745701
YDR292C	0.045696473	0.713241829
YIL041W	-0.096656836	0.535544446
YLR076C	0.099950078	0.824868907
YHR060W	0.158854847	0.531476609
YLR031W	0.072628234	0.804442465
YNL059C	-0.153700461	0.262722597
YER115C	-0.026405189	0.924630448
YEL041W	0.099526524	0.545720269
YBR285W	0.32097571	0.04371707
YER176W	-0.05669071	0.739257409
YJL144W	0.166211565	0.575490678
YDR116C	0.042895446	0.803312719
YGL162W	0.284525395	0.082372322
YPR148C	-0.030712614	0.851730033
YEL034C-A	-0.14102458	0.758086333
YOL097C	-0.00593875	0.969160397
YKL193C	0.087272337	0.591950374
YPL203W	-0.0145794	0.934155759
YJL123C	0.096974289	0.584074239
YGR252W	0.05958581	0.667352127
YMR304W	-0.04439989	0.787473525
YCL008C	0.005494324	0.988697053
YLR153C	-0.103654667	0.416989217
YOR159C	0.082816043	0.789562142
YKR003W	0.076015617	0.549639139
YOR199W	0.511498149	0.542696236
YJL086C	1.36231327	
YJL080C	-0.125659329	0.298861908
YLR049C	-0.097427012	0.514262747
YCR015C	-0.007960649	0.975545154
RUF5-1		
YMR283C	-0.039440992	0.808419514
YDR518W	0.230881201	0.011048597
YDR142C	-0.00268298	0.990726485
LSR1	-0.321328073	0.244587532
YPR035W	-0.06288982	0.714078608
YDR155C	-0.028161455	0.943182038
YDL239C	-0.093744748	0.724473542
YDR049W	-0.068042916	0.736710346
YGR231C	0.099074499	0.599415921
YJR045C	-0.035239568	0.812890933
YMR025W	0.116228757	0.591927675
YOR073W-A	-0.607710992	0.74767157
YKL081W	-0.062316436	0.637123006
Q0017		
YEL021W	-0.493228032	
YGR188C	0.216409762	0.330644524
YPL211W	0.145072059	0.322541246
YIL052C	0.130032835	0.728034576
YDR335W	-0.054190194	0.668093901
YBR015C	-0.055604223	0.758726177
YGR230W	0.138835357	0.434896254
YHR171W	-0.227045777	0.112748084
YLR315W	-0.281306358	0.528375446
