	log2fc	p-adj
NUM1	-0.432559608	0.000846745
REG1	0.101406349	0.039592941
CCE1	-1.046235255	0.000194896
SDS24	0.519872821	0.000151969
PRS2	0.095924971	0.192589373
YDL177C	0.285759552	0.002238655
APC11	0.148688192	0.133913634
TEF2	-0.306224227	0.229263654
SAW1	0.070801309	0.684215543
THP3	0.111295121	0.41155409
YDR379C-A	-3.64576622	1.81e-09
ATP6	-3.024107259	0.000233663
SNZ1	1.398590447	0.047750478
UGX2	-0.341913991	0.01800815
SLM2	-0.073061132	0.118324895
YGL036W	-0.053793398	0.153156136
YMC2	0.420483882	0.008245839
NCE101	-0.349242579	0.037983513
YNL022C	0.203445431	0.044352322
TYR1	0.202745883	0.011158401
RRN5	0.318080777	0.015700988
PCM1	-0.327203058	0.104558597
PTC5	-0.301771382	0.003025135
RFC4	0.044228127	0.444130047
PLB3	-0.075175055	0.483318643
BET1	-0.012728969	0.886390045
MAK5	-0.01183433	0.794004271
SGF29	0.246425492	0.020028726
PRE8	0.155258012	0.123486478
YOL092W	0.007313752	0.917165744
ROK1	-0.034617143	0.505418465
RPL4A	-0.345656439	0.028817141
YER156C	-0.162579925	0.016225745
RRP40	0.168511473	0.103043573
IES1	0.152372348	0.040777119
UBP16	0.166214262	0.102481801
NUT2	-0.15238409	0.461778631
ICT1	0.067381781	0.230051556
TRX3	-0.166085164	0.323971391
YNR021W	0.046067759	0.644635788
TUL1	0.123783699	0.068990899
SNL1	0.145850076	0.027210449
FBP26	0.110310245	0.090919805
LAC1	1.222010965	0.001076054
MID1	0.160158257	0.773729576
SNU13	-0.242027082	0.02159261
YNL134C	-1.724985804	4.48e-05
MTC4	0.454632367	0.003105744
VNX1	0.157151477	0.063580322
COX2	-3.718569251	0.000263257
YCL057C-A	-1.550758324	0.001307664
VMA13	0.059724975	0.510122215
ILV2	-0.589426527	0.002012807
DOP1	0.218806342	0.002784017
SRP72	0.133594248	0.064702963
COX11	-0.279760965	0.017390584
DGR2	-0.021331432	0.539496547
RPS7B	-0.252673371	0.292654281
MET16	0.790702201	0.013124
ADR1	-1.334056772	2.73e-05
PRM4	-0.418844182	0.009951734
ADE6	0.092773082	0.05793585
STE50	0.011883578	0.901211302
IMP4	-0.006349131	0.895205903
RPN10	-0.135731607	0.156142391
TAF3	0.141294666	0.000794447
EDC2	-0.184118665	0.458671743
SKO1	-0.075734609	0.262151452
YER077C	-0.716222214	0.000138583
RPT5	0.017152068	0.87923561
NOP8	-0.290220096	0.004511291
NCR1	0.158520092	0.35091563
RTC4	0.292764632	0.052187716
MET7	0.054149065	0.466822859
YBR259W	0.128210518	0.24634392
YMD8	0.062261755	0.768458816
RPL16B	-0.321000893	0.044552614
SWC5	0.213454561	0.023568294
YBR285W	0.003331472	0.974552483
KEL3	-0.049033102	0.509093232
RPL8A	-0.399206997	0.038558557
RIM20	0.153171636	0.115145535
FUR1	-0.339584554	0.001164845
YGR067C	-0.082342237	0.566832276
POF1	-0.101222455	0.222764638
YNL295W	-0.24155355	0.377408079
CPT1	-0.174503008	0.13417572
PRP38	0.077989371	0.140226878
FPS1	0.319980773	0.024879292
YIL108W	0.276528211	0.021994796
ALT2	0.720549936	0.050746438
SFB3	-0.117184577	0.419425752
RPC25	-0.040488819	0.660383712
AVT6	0.247164046	0.071772551
ARP7	0.16306828	0.009162695
RPS15	-0.601324606	0.138199053
SEC31	0.005926885	0.862358194
CKB1	-0.142588841	0.680633525
