	log2fc	p-adj
OSW5	0.151163885	0.303632016
CYT2	-0.305775285	0.020868053
TUB1	0.142721115	0.248053454
SBE22	-0.753129399	0.000407458
YPK2	0.142247525	0.003218358
TPS3	0.050012245	0.548268229
YME1	-0.326711298	0.002076712
NMD4	-0.085608338	0.493472758
HST1	-0.138795239	0.222334921
LAP2	0.119161692	0.040362556
NRG2	0.625394988	0.008026963
CUP2	-0.044809654	0.933401392
AIM32	-0.715426182	0.00039194
YHC1	0.057799344	0.921161101
EXG1	-0.263981843	0.219592781
HUA2	0.192014878	0.067523465
WAR1	0.083242331	0.520208039
EFM1	0.006507689	0.923082606
OPT1	0.907468914	0.000423571
RPP1B	-0.095306822	0.669477354
SSU1	0.544455033	0.006374692
RHR2	1.701236935	7.02e-05
CPR8	-0.662705929	1.91e-05
BMH1	-0.107785064	0.342718928
OSM1	0.182083201	0.039356615
DBP1	0.649009386	0.00025369
YIL067C	0.266454499	0.030426242
SSE2	0.447915291	0.000663318
TKL2	1.403039522	0.003432607
VPS17	0.009782263	0.764723488
CEF1	0.121726926	0.278522862
POP4	0.186766071	0.129081226
CPR4	-0.032707874	0.77577423
NHP10	-0.058492758	0.731501261
TTI2	0.184796198	0.012714133
ARO10	-2.033041544	0.003181272
MOB1	0.123014484	0.290779867
RPM2	-1.068328099	0.000133244
MNN2	0.089913512	0.378812683
YLR132C	-0.525999734	0.002302168
YNR040W	-0.309009908	0.003242665
SWS2	-1.152639394	0.00064339
LEU3	0.384741166	0.001347438
OPY2	0.161942605	0.416002323
EMW1	0.081670726	0.015676818
MRH1	-1.248921103	0.00022401
LCB4	-0.357210216	8.09e-06
MRPL16	-1.109508218	2.99e-06
YIR024C	-0.432895075	0.094860433
ELP3	-0.03099104	0.579457598
AI4	-2.366121323	7.31e-06
RAD3	0.315402086	0.004585278
IMP2'	-0.074228388	0.671464643
MRD1	0.037174497	0.610502163
RPL14A	-0.60487077	0.254160591
PHB1	-0.494574934	0.002717702
MRPL11	-0.608103935	5.47e-05
ASM4	0.006496211	0.881241439
KRE5	0.169101509	0.061665007
RSE1	0.08689564	0.234131142
ISN1	-0.006200879	0.930329268
OSH6	-0.013729785	0.568301915
YPR098C	0.476013625	0.049889399
EFG1	-0.041480818	0.661099263
SMY1	0.129875411	0.143549859
INO80	0.07185245	0.40281456
ADH4	-1.51012475	0.047142106
FOL1	0.144731335	0.012570968
MUB1	-0.291697564	0.000870575
DDI1	0.263223601	0.008511123
TUB3	-0.057369047	0.67801351
FET3	-0.723377194	0.001427916
PET54	-0.585470356	0.000552332
TIM13	-0.32009302	0.047536586
GUF1	-0.59584407	0.002379686
YEL020C	-0.096291225	0.012001961
FMP46	0.455950256	0.008713988
YBL086C	0.051039406	0.780672523
