	log2fc	p-adj
COS2	0.42139956	0.015645164
DBP6	-0.130414965	0.328495729
NMA2	0.357314896	0.076957604
MDM34	-0.637987004	0.004272388
NUP159	0.005098104	0.935483015
YIL151C	-0.145661186	0.038075459
RBK1	-0.137833968	0.072359037
MRP13	-0.561610869	5.66e-05
YJR149W	-1.479318109	1.88e-07
YTA6	0.013610688	0.848552389
KEL2	-0.179519733	0.075389883
HFA1	-0.373819145	0.000880507
UBP8	0.145911711	0.057159239
YIF1	0.023689707	0.676946403
YHR097C	-0.00351701	0.925403293
ADH2	1.621291728	1.41e-07
DID2	-0.072561211	0.226714838
MRD1	0.037174497	0.610502163
CMK2	0.175901014	0.063104162
BDH2	0.612670056	0.107363809
FYV4	-1.769850598	2.38e-07
PFA3	-0.142000575	0.676266896
PRP46	0.219457135	0.174504579
RPS29B	-0.625655286	0.314467722
MFB1	0.094794452	0.207100374
NPL3	-0.212521122	0.507360064
PDR15	1.996439794	0.006555416
CDC123	-0.158764986	0.493935796
ROG1	0.726736198	0.005729773
PAP1	0.002063854	0.978714923
HIS7	0.180029235	0.008783752
SEC7	-0.041997316	0.181394737
PSO2	0.369828542	0.002397497
LPD1	-0.980206872	7.63e-06
RAF1	0.468985944	0.005570488
SHU1	0.621551786	0.004371049
GIS1	0.08900933	0.274755765
GNT1	0.389761096	0.000220426
SAS4	0.159692998	0.00713525
SLM3	-0.642127261	0.000377787
GRX3	0.090649797	0.219789458
LOT5	0.021070449	0.896309408
SNU114	0.193965062	0.002103469
DSE4	0.793350241	4.96e-07
YBL107C	-0.16690816	0.569812065
TMA64	-0.056780944	0.247669365
TNA1	-0.183404573	0.2999595
DSD1	0.067774229	0.428317937
EXG2	0.277565023	0.011072759
YGL159W	-0.044568884	0.668139943
SED4	0.279256686	0.001496456
KIP2	-0.100289673	0.328315198
DIA2	0.166994186	0.107622471
BCH2	0.244098571	0.001564707
APE2	0.26839824	0.003112942
OYE2	-0.016090776	0.900786052
STE2	-5.02924718	0.000158985
AHC1	0.145334368	0.088213616
APN2	-0.135446166	0.084341085
FTH1	0.136246544	0.359400663
SKN1	-0.108373253	0.314042044
BCS1	-0.701529014	0.000340707
YPL014W	-0.481517643	0.000265304
LYS9	-0.260536462	0.036629673
AFI1	0.068424796	0.326008939
TAT1	-0.289941712	0.002460849
COQ9	-1.255083957	1.58e-06
BNI1	0.158144019	0.000824588
BFR1	-0.186239274	0.106498055
PTH2	0.035286603	0.251303542
HOS3	0.028931044	0.566388343
PUF3	-0.131281322	0.007769436
COX12	-2.580895664	0.001351852
YSP2	0.079796885	0.354849274
HBN1	-0.094329885	0.481141009
VPS15	0.204488588	0.001493428
SWS2	-1.152639394	0.00064339
PPM2	0.296714318	0.015095518
VMA1	0.164948137	0.003479181
SHS1	-0.202048197	0.073409886
SOR2	1.227974637	4.31e-08
VPS1	-0.05398311	0.185175108
IML3	0.481824262	0.010035521
RTC1	0.17200829	0.004877062
RIF1	0.173113535	0.003375377
PGA2	0.470512095	0.001728511
TCM62	-0.542468117	0.000209807
VIP1	-0.048954786	0.188046655
ATM1	-0.778492265	0.000144027
UBC1	0.249959593	0.007253792
DSF1	1.929712247	0.008430025
MSL5	-0.013599546	0.726171972
GIP4	0.040795751	0.643427733
RNH202	-0.076938948	0.266204174
IRS4	0.343842863	0.02584946
SNU71	0.152423208	0.004885877
TSR4	0.080848671	0.0256907
SIN3	0.118642546	0.048144061
KTI12	0.728670443	0.000726462
MGR1	-0.158560348	0.011189769
SCC2	0.259036873	0.003356875
YOR289W	0.662076309	3.51e-05
SMF2	0.28540977	0.012786697
YGR237C	-0.009879532	0.891067146
RPS30A	-0.418662521	0.161864663
XRS2	0.173445331	0.007604421
NIT2	0.124740085	0.076646024
RSC3	0.197378747	0.010571987
VPS53	0.047562084	0.363825209
MOG1	-0.091341132	0.115778281
RPE1	-0.03964929	0.858518133
AGE2	0.012563052	0.672325388
GYL1	0.082430654	0.234035353
RTC3	0.101791852	0.382925297
SRP1	0.045348943	0.685182621
GCY1	0.041797022	0.547750384
SAP1	-0.071997436	0.308380639
ECM32	0.032743223	0.274279908
PUT2	-0.693991557	3.74e-05
YGL101W	-0.17298411	0.305137384
PMT4	0.023547493	0.429706038
REF2	0.155559763	0.112912608
YLR072W	0.349778335	0.000359776
DCS2	0.735375634	0.000815689
CWC15	0.008374892	0.881818991
GSM1	-1.521128491	0.002160689
RRG9	-0.178756196	0.426689121
PHO3	-0.960697563	3.22e-05
NGG1	0.322882089	7.26e-05
RUD3	-0.002035931	0.980243713
YGR149W	0.285149906	0.086683398
YKL107W	1.297365226	0.002959172
UBX7	-0.03276631	0.820607647
TIM50	-0.057709752	0.580244773
ERG26	0.357413151	0.040858562
COX3	-3.124283502	5.27e-05
KEX1	-0.035197788	0.562216894
PRP9	0.400889888	0.00902021
PYC2	0.901743759	8.18e-05
VBA1	0.019785091	0.634548622
CSM3	-0.136924049	0.271806655
VPS41	0.210524834	0.001736899
ISW2	0.277742426	0.005843218
SLM2	-0.073061132	0.118324895
MRI1	0.174443438	0.058074409
CDC21	0.00422776	0.951899798
DEF1	-0.221226949	0.112521733
STB6	0.901385038	0.001894404
VAC8	0.217722292	0.000310197
YGR127W	0.32773512	0.001128922
YBP1	0.147523544	0.017860926
OPI3	-0.497454044	0.127361199
RHO4	0.016937956	0.870928509
MGS1	0.267533013	9.58e-05
SLT2	-0.274887202	0.064443659
PSE1	-0.073551041	0.234230414
PML39	0.308695935	0.005234215
YEN1	0.18208492	0.030568725
YHI9	0.337698887	0.000404124
CBP3	-0.08390333	0.096532776
MDM38	0.073080287	0.078562354
OXR1	0.373431244	0.005995779
SNF12	0.135769939	0.269803006
EGD1	0.087239815	0.66175986
RNA15	0.010898231	0.918617012
MRPL24	-1.161527389	0.002721614
NNK1	0.053775092	0.305945403
LAS17	0.092851582	0.288129486
PEP7	-0.003286343	0.93675112
SAS2	0.107232191	0.603355745
DBP3	-0.293978635	0.122158385
