	log2FC	FDR
YOR334W	-0.250876854	0.234504438
YDL138W	-0.225460951	0.224543498
YIL114C	0.088524648	0.684508634
YBR059C	-0.183004755	0.051985407
YGR232W	0.059771114	0.763681161
YIL087C	0.053012811	0.816098907
YJR115W	0.288845624	0.213239619
YMR150C	0.087101564	0.657704094
YJR122W	0.111011062	0.398154438
YJR124C	-0.259251948	0.056354755
YGR001C	-0.021047349	0.917217454
YMR192W	-0.11907267	0.591927675
YML099W-A	0.13931106	0.821999837
YHL041W	0.541189183	0.821965211
YML078W	0.013992681	0.945337139
YDR083W	0.15133603	0.195163575
YOR148C	0.158252064	0.479466581
YJR112W-A	0.134468043	0.525243516
YNL054W-A		
YDL106C	-0.239589834	0.062622791
YER082C	0.098404717	0.401667939
YOR264W	0.062323889	0.67296381
tI(AAU)G	0.748362135	
YCR082W	0.06495701	0.813822794
YLR101C	0.324860152	0.337989504
YHR165C	-0.010034731	0.950340459
snR34	0.175437746	0.729890868
YHR100C	0.024913042	0.909011351
YBR089W	0.280026737	0.800009646
YKR020W	0.182677349	0.350676389
YGL188C	-0.252737677	0.389533419
YLL066C	-0.622310381	
YBR021W	0.032840916	0.887947185
YDR260C	0.016526502	0.947370837
YGL063W	-0.115901712	0.73362227
YGR031W	-0.040226433	0.852403265
YLL013C	0.103883482	0.61976149
YER072W	-0.229964949	0.029357143
YOR179C	0.197399547	0.227662736
tD(GUC)I2	0.099029073	
YOL024W	-0.199963966	0.79352116
YOL076W	-0.11167775	0.612579785
YER041W	-0.24779554	0.041331713
YOL095C	-0.276426255	0.106978977
YDR032C	0.080821086	0.715463425
YBL050W	0.097358936	0.555564607
YBR050C	0.334223511	0.000303806
YBR123C	-0.163357202	0.132237867
YKL049C	0.157289772	0.23807375
YBL093C	0.186671198	0.236491496
YDL146W	-0.107670277	0.425163059
YGR017W	0.055282325	0.78451085
YCL041C	0.066720044	0.949358705
YNL008C	0.139521323	0.132237867
YKL109W	0.050562924	0.778599213
YGL086W	-0.00573582	0.976006771
YNL251C	-0.190209244	0.455743941
YLR003C	0.155760879	0.231222189
tK(CUU)E1	0.805888651	
tF(GAA)H1	-0.23074921	
YHR024C	-0.097411847	0.407106123
YOR209C	-0.054968991	0.691600193
YMR273C	-0.106144158	0.732914046
tK(UUU)P	-0.101153558	0.958892749
YJL024C	0.025799146	0.898080599
YPR132W	0.101396548	0.787958612
YKL068W	-0.012872213	0.963204521
YGR146C	-0.08404759	0.591927675
tQ(UUG)D3	1.116691874	
YNL101W	-0.28198703	0.011249864
YMR173W	-0.083755591	0.846284072
YKL071W	0.255404549	0.046227529
YJL064W	0.003918891	0.998672838
YNL204C	-0.138765756	0.698518462
YOL051W	-0.131998526	0.48449979
YPL040C	-0.106925515	0.336768074
YML067C	0.140101704	0.176480851
tM(CAU)O2	0.807954044	0.757281719
Q0110		
YGR296C-B		
tD(GUC)J4	-0.622310381	
YCL035C	0.101187765	0.773368257
YAL032C	-0.206724804	0.126854202
YMR246W	0.069713505	0.635410631
YNL069C	0.041207443	0.884567005
YJL061W	0.073170207	0.553749965
YLR244C	-0.054875893	0.729659549
tL(CAA)L	-0.421269481	0.779802513
YGR174W-A	0.136365183	0.772466144
YIL009W	-0.011957252	0.959233164
YMR013C-A		
YMR151W	-0.249825786	0.525243516
YML034W	0.130130378	0.230193599
YGL232W	0.11206682	0.530663504
YDR454C	0.135952201	0.398644516
YGR050C	0.403307105	0.042324989
YNR040W	0.048036716	0.793405833
YHL023C	-0.167294619	0.300087122
YPL148C	0.218379404	0.191682972
YKL003C	0.0687688	0.782413554
YMR211W	0.078230117	0.601771588
YGR220C	-0.018317974	0.941167788
tA(UGC)A	0.972724569	0.667352127
YJR044C	-0.010103464	0.967959996
YGR294W	0.272213866	0.818057282
YNL205C	-0.292605195	0.736121091
YGR270C-A		
YOR160W	-0.232405921	0.031433039
YBL006C	0.196551845	0.186969087
YOR360C	-0.055904632	0.714908575
YFR009W-A		
YDR363W	-0.122694459	0.378410609
snR69	-0.044509358	0.924630448
YDR282C	0.047730793	0.78512545
YLR210W	-0.166116691	0.505282621
YKL176C	-0.11771539	0.362628831
YIL015W	0.055539003	0.803534124
YBR202W	-0.099372542	0.583600402
YKL220C	0.111686598	0.736121091
YOL089C	-0.137959409	0.370111646
YPL086C	0.013167875	0.935049991
YOR364W	-0.183636548	0.850669356
YMR164C	-0.1138477	0.603621965
YJR088C	0.149287881	0.158768938
YDR170W-A	0.084810396	0.787958612
YIL020C-A	0.150440977	0.678517042
YMR120C	0.343705148	3.85e-05
YDL074C	0.139147359	0.09697393
YNL066W	-0.055196857	0.704218019
YNL252C	0.01662118	0.927022124
YLR050C	0.207995126	0.035706192
YOR386W	0.001241614	0.995230518
YHL014C	0.128387564	0.34071298
YJL117W	-0.115383856	0.413371419
YHR120W	-0.15675251	0.170335287
YLR287C	0.126385653	0.312915447
YBL090W	0.098989284	0.72737431
YKL218C	-0.82462849	8.25e-08
YPL203W	-0.0145794	0.934155759
YMR059W	0.201145956	0.335363688
YCR047C	-0.013571684	0.957045159
YDR082W	0.1600578	0.160753112
YLR250W	0.077586898	0.734786312
YGR168C	0.114152125	0.466013353
YCR041W	-0.17412881	0.833307292
YOR121C	-0.113657253	0.804496084
YIR025W	-0.188560421	0.334048471
YPL070W	0.013626573	0.925670953
YIL037C	0.323951658	0.051234376
YMR227C	-0.127174487	0.390784526
YDL057W	-0.082409383	0.715650327
YCL066W		
YLR376C	-0.042752626	0.861517896
YER020W	-0.115543235	0.320194884
YKR005C	0.189101022	0.245658535
YMR229C	-0.075941515	0.604585262
YKL095W	-0.021990201	0.915422513
YNL248C	0.003884206	0.982887024
YGR134W	-0.03693313	0.830848306
YCR065W	-0.370525398	0.147379286
tC(GCA)G	0.099029023	
tG(GCC)P1	1.525284336	
tT(UGU)P		
YAL031W-A	-0.303250825	0.575490678
YGR240C-A	0.074854537	0.836057951
YLR252W	0.071326174	0.801849444
YNL257C	-0.200579338	0.040723632
snR46	0.268288233	0.34071298
YFL064C	-2.336485665	
YER102W	0.109359804	0.804442465
YER161C	-0.111038676	0.469926413
YGR237C	-0.332999968	0.001171367
YOR249C	0.090929433	0.46565589
YKR064W	0.017939282	0.931815236
YKL039W	-0.136873792	0.196396265
YDL100C	0.07850267	0.616627201
YBR102C	-0.112971952	0.56163102
YPL058C	0.541459545	0.003490565
YDL148C	0.068650857	0.655335161
YDR343C	0.110180256	0.789562142
YHR056W-A	-0.077106635	0.976880499
YBR210W	0.178140629	0.297169038
YDR496C	0.143096692	0.070331813
YHR167W	0.202295628	0.413371419
YMR011W	0.602495646	4.08e-14
YPL013C	0.158718517	0.632346881
YJL190C	0.065528433	0.856099616
YOR094W	0.005664675	0.981551234
YJL197W	-0.177810853	0.144552268
YPL010W	0.051897845	0.819044242
YER133W	0.059722268	0.772735584
YML108W	0.134533204	0.539703303
YML070W	-0.076457636	0.592979929
YOR251C	0.019543689	0.910082925
YDR172W	-0.03776371	0.742812425
YKL090W	-0.060117953	0.772735584
YOR007C	0.046675658	0.78512545
YPL204W	-0.078310993	0.525134547
YLR300W	-0.158094649	0.079690433
YOR112W	-0.157156867	0.215472176
tR(ACG)O	1.570861268	
YJL095W	-0.202210763	0.248282414
YMR153W	-0.184204214	0.216459648
YPR150W	0.061189425	0.917217454
YKL017C	-0.28413565	0.018824924
YHR018C	-0.328508492	0.000281308
YIL054W	0.883487878	0.323076442
YLR318W	0.145612383	0.333783067
YKL115C	0.202899551	0.684867799
YDR497C	-0.205262578	0.006801978
YHR068W	0.096101778	0.390784526
YEL010W	-0.938490677	0.378082314
YOR375C	-0.916640704	8.190000000000001e-32
YOR170W	-0.225714775	0.703728594
YOR132W	-0.22187082	0.040191267
YHL048W	0.451176151	4.22e-06
YBR095C	-0.008553896	0.967959996
YIR020C		
YAL038W	0.043108373	0.858797934
YGL112C	-0.00276214	0.988586619
YDR169C	-0.086644045	0.741897858
YCR097W-A		
YPL224C	0.074680604	0.591927675
YJR053W	-0.117754234	0.732579291
YBR243C	-0.203033418	0.237686996
YGL098W	-0.002372133	0.991839999
YOL132W	0.657049299	1.02e-06
YPR020W	-0.24649145	0.130662757
YOR214C	0.549231951	0.461059163
YLR191W	-0.013636954	0.956718801
YGL012W	0.082499053	0.432649354
YPL064C	0.157176046	0.37993664
YIL150C	-0.367825714	0.033584692
YMR311C	0.074592262	0.808403088
YLR015W	0.114891142	0.384055763
YKL002W	0.084195515	0.676179096
YLR409C	-0.063786943	0.684743856
YLR338W	-1.312311633	
YFL025C	-0.202345099	0.186969087
YOL163W	0.053949419	0.907545399
YIL155C	-0.174330247	0.122568948
YDR038C	-0.229330893	0.421761891
YDR386W	0.175381882	0.150713966
YKL116C	-0.452393873	1.4e-05
ETS2-1		
YOR257W	0.233801342	0.202120122
YLR208W	0.017123545	0.910082925
YMR180C	0.161460858	0.22710025
YNL116W	0.301804769	0.126854202
YGL201C	0.05643067	0.823211317
YJL206C	-0.017453634	0.94321549
YCR090C	0.149504242	0.39094145
YGR245C	0.075235189	0.509530238
YHR037W	-0.185174117	0.046799915
YBR211C	0.173882082	0.168482959
YPR170C	0.201763369	0.772735584
YDL109C	-0.307015852	0.18886965
tF(GAA)M	-2.30300573	0.090162981
YEL034W		
YIL082W		
YLR207W	-0.139943906	0.246269922
YFL033C	-0.322397093	0.005537318
YLR268W	0.072343638	0.679736903
YHL043W	0.315577939	0.080132202
YPL251W	0.298790494	0.870037478
YOR106W	0.049546507	0.793476254
YDR509W	-1.427862788	
YDL149W	-0.205800888	0.101395541
YOL016C	0.011499346	0.950505888
tA(AGC)J	1.564404027	
YKL085W	-0.335003304	0.000147428
YMR285C	-0.202002066	0.077289167
YNL233W	-0.246370652	0.122090402
YER122C	0.018276748	0.894265065
YPR154W	-0.075053743	0.773368257
YDR293C	-0.18451199	0.014591496
YMR310C	-0.146487241	0.627360045
YJL131C	0.017340074	0.92299026
YIL109C	-0.03617325	0.863215276
YCR038C	-0.354706291	0.019019012
YLR087C	-0.062456895	0.680099284
YNL024C	-0.009608049	0.981346077
YGR046W	-0.021817975	0.883636314
YLR188W	-0.190832528	0.304133125
YLR088W	-0.072343851	0.651065812
YFL007W	0.039652827	0.770194858
YKR092C	0.048045077	0.79352116
tK(CUU)G3	0.820362139	
YPL282C		
YOR241W	0.059850256	0.687621231
YCL068C		
YMR286W	0.040055379	0.921518571
YML022W	0.100559704	0.532885616
YFL009W	-0.054769323	0.778191467
YDR265W	0.181337132	0.099999249
YML005W	0.195867554	0.048234302
YJL166W	-0.091872184	0.725333254
YLR205C	0.255510337	0.200322577
YPL088W	-0.066573337	0.724608068
YNR008W	-0.242657552	0.086953421
YER087C-A	0.198890445	0.626987238
YLR389C	-0.310312264	0.000428569
YNL240C	0.141392761	0.363536559
YOR171C	-0.286108597	0.02362742
YGR158C	0.0670916	0.689277419
YMR234W	-0.034716261	0.849180326
YOL159C	0.229116185	0.101417888
YOR284W	0.223208165	0.10600987
YER127W	-0.04061578	0.839748823
YLR463C		
snR8	-0.14941325	0.766841897
YFR004W	0.07646947	0.683680972
YKL093W	-0.133036504	0.308158602
YLR302C	2.597805104	
YLR122C	0.415944878	0.254583622
YJR151W-A	0.164776905	0.909560937
tK(UUU)Q		
YIL099W	-0.157172434	0.705096836
YNR051C	-0.078428602	0.566997094
YPL047W	0.037370877	0.893340011
YPL152W-A	0.027320082	0.988106983
YNL091W	0.008978124	0.958335214
YKR047W	0.048282691	0.910082925
YCL031C	0.07498062	0.682308343
YOR270C	0.053513071	0.605161656
YLR410W	-0.165059558	0.088840398
YLL006W	-0.28890653	0.035651785
YLR035C-A	0.570253593	0.802950389
YPR022C	-0.193911683	0.077289167
YIL077C	-0.066635668	0.702522116
YGL075C	-0.231772447	0.288824309
YAR071W	-0.010941879	0.985726201
YOL035C	0.114603944	0.820689458
YPL257W	0.242201204	0.202696991
tH(GUG)Q		
YHR052W-A		
YOR129C	-0.109193157	0.663233022
YDL177C	-0.026075967	0.927383043
YPL045W	-0.037887021	0.818057282
YBR081C	-0.040417832	0.787190635
YOL072W	-0.232540706	0.143037129
YNL096C	0.042764998	0.846788572
YDR493W	0.079994366	0.718141578
YER132C	-0.451035446	0.00012577
YBR172C	-0.314525671	0.000184625
YFR030W	-0.072827562	0.728635015
YOL135C	0.134547599	0.597198078
YOR082C	-0.928650803	0.603621965
YCR084C	-0.011554531	0.964929244
YCR096C		
tW(CCA)K	0.515968954	0.805063048
YOR211C	-0.109843025	0.444029449
YPR056W	0.045550591	0.785715274
YOR032C	-0.003952596	0.988106983
YLR079W	0.01147548	0.962632672
YNL154C	-0.134617824	0.125417379
YOR248W	0.149481549	0.808403088
YML012W	0.057250342	0.78512545
YDR250C	0.094014835	0.941167788
YGR271W	-0.101867053	0.418570955
YDR120C	0.011442311	0.958335214
YHR057C	0.000605888	0.997778227
tI(UAU)L	-0.22914936	
YIR031C	-0.055196981	0.818057282
YNL192W	-0.338144311	0.000795938
YMR272W-B	0.290738176	0.816098907
