	log2FC	FDR
YKL054C	0.005297123	0.973011676
YIL031W	-0.292411362	0.142276826
YPL008W	-0.065790266	0.643873423
YFL002C	-0.067997106	0.658695742
YLR091W	0.001940192	0.994051985
YJR035W	-0.047686109	0.799754223
YOR317W	0.011094644	0.945465821
YFL054C	0.65801805	1.64e-08
YLL063C	0.181623388	0.524564513
YMR055C	0.080842552	0.743996602
YBR132C	-0.104278568	0.505899126
YKL106C-A	-0.374224677	
YLR439W	-0.333568976	0.052036856
YGL154C	0.259965701	0.029742199
tT(AGU)H	-0.090167714	0.963204521
YDR124W	-0.341113168	0.062305761
YJL176C	-0.017046998	0.920421041
YKR009C	-0.434283662	0.001109107
YPL205C	-0.293316922	0.599217635
YLR103C	-0.012334901	0.967959996
YLR016C	0.128546865	0.358391495
YDR294C	-0.091251857	0.434360112
YIL002C	-0.217327189	0.035776626
YAL030W	-0.078053671	0.754828534
YER124C	0.094402678	0.428938018
YGR006W	0.045615171	0.854439412
YJL034W	-0.170562354	0.112809712
YLR114C	-0.085724435	0.512262352
YDR213W	-0.068300797	0.736964117
YAR018C	-0.153526813	0.387963694
YIL027C	0.121702669	0.593232268
YDL150W	-0.081053098	0.707141914
YLR231C	-0.247682046	0.024681857
YKL185W	-0.212464974	0.04771771
YDR239C	0.129306684	0.43804779
YJR044C	-0.010103464	0.967959996
YJL016W	-0.196625812	0.248117914
tT(UGU)G1		
YBR196C-A	0.594948802	0.281147222
snR66	0.119485512	0.877803601
YKL194C	-0.14986064	0.22163043
YLR028C	0.003800468	0.981551234
YER088C	-0.238779844	0.017418752
YPL274W	-0.118224276	0.482682103
tC(GCA)B	0.023483106	
YOR250C	-0.076018176	0.653100856
YBR097W	-0.003263111	0.985726201
YPL203W	-0.0145794	0.934155759
YGL160W	-0.088597504	0.61014902
YHR214W	-1.116140895	0.322895066
YCL061C	-0.16474455	0.425163059
YPR041W	0.03263005	0.830848306
YBL082C	-0.008102355	0.984588436
YKL214C	0.14607596	0.380932559
YOR053W	0.191537781	0.803312719
YHR080C	-0.321528978	0.000639542
YJL203W	0.058807184	0.787190635
YML029W	-0.111173426	0.388044898
YBL061C	-0.006315379	0.984190524
snR3	-0.047625655	0.944933063
YIL097W	0.113283369	0.32050745
YDR135C	-0.05459641	0.65358545
YHR127W	-0.047227866	0.817578131
YOR301W	-0.177774312	0.415477458
YCL032W	0.002709158	0.988697053
YOL041C	0.026153861	0.86426482
YDR208W	0.031397069	0.856099616
YOL157C	0.515209831	0.002099569
YBR240C	-0.121119615	0.719487362
YER146W	0.101925182	0.798998434
YLR411W	0.223332326	0.146037733
YIL142W	-0.002799934	0.986710339
YMR092C	-0.049125408	0.707896884
YHL013C	0.118135645	0.462544964
YNL127W	0.011685698	0.944280407
YGR173W	0.078639299	0.634978402
YOR243C	0.121485946	0.163515313
YHR174W	0.066929817	0.693885291
YDL220C	-0.371040643	0.048128262
YBR137W	0.080453471	0.6652137
YOR279C	-0.099712512	0.566997094
YOL013W-B	1.202374631	0.079448196
YOR047C	-0.52097812	0.001692726
tV(AAC)O	1.319290062	0.511695432
YGR004W	-0.081073726	0.677134493
YDL131W	0.088598036	0.599415921
YHR045W	0.065237511	0.621404894
YKR013W	-0.214886455	0.064733712
YLR390W	-0.107158915	0.682414535
YMR254C	-0.113674067	0.831646173
YHR170W	0.116776643	0.286623037
YPR108W-A	1.042828458	0.313133766
YAR027W	0.110094537	0.478877487
YCR052W	-0.075675872	0.709783935
YNL328C	-0.211659462	0.540106626
YHL026C	-0.313151087	0.16433988
tQ(UUG)D1	2.169722414	
YJL007C	0.969216413	0.077289167
YBR220C	-0.264708145	0.092054336
tP(UGG)F	0.847624786	
YDR282C	0.047730793	0.78512545
YBR298C-A	0.819888039	0.651487608
YLR226W	-0.202773552	0.379563289
YMR086W	-0.255413172	0.002485396
YDL244W	0.25181973	0.432649354
YOL025W	-0.23042291	0.094875973
YJR160C	-0.100999914	0.91185672
tL(CAA)D	-0.622310381	
YMR187C	-0.098841496	0.65579081
YJL225C	0.820362139	
YNL156C	0.028767751	0.858110861
YPR185W	-0.217307048	0.096206911
YDR278C	1.335796958	
YLR351C	0.14355109	0.215594953
Q0158		
YHR196W	0.054690559	0.71140868
YIL153W	-0.182208488	0.39094145
YGR055W	-0.37370524	0.010363088
YCR096C		
YPR132W	0.101396548	0.787958612
YHL031C	0.079325605	0.761768915
YOR289W	0.113477015	0.474125802
YPL112C	0.099426873	0.458760658
YLR057W	-0.164977859	0.309829193
YHR032W	-0.084036782	0.628243163
YOL077C	0.090236476	0.607388324
YMR240C	-0.08673253	0.570583076
YNL208W	0.077876897	0.802426622
YDL046W	0.05007249	0.770883695
snR64	-0.200518544	0.880089964
YPL095C	-0.049218808	0.770170988
YIR010W	-0.072910171	0.764712979
YOR314W	-1.311278926	9.08e-06
YLR205C	0.255510337	0.200322577
YLR393W	-0.654167097	5.65e-05
YIR013C	0.376951688	0.798462887
tL(UAG)L2		
YDL021W	0.281410639	0.046547058
YNL279W	0.105668946	0.633070004
YDL006W	0.199773731	0.105987627
snR24	0.362687365	0.521333611
YKR087C	0.012335375	0.9454679
YGR120C	0.164640576	0.166949538
YCR016W	0.131926558	0.432649354
YER097W	-0.270744069	0.788268475
YJR046W	-0.054331112	0.827697462
YIL066W-A	-0.276293391	
YPL233W	0.100711127	0.603360394
YJL188C	0.2320606	0.301487553
YFR051C	-0.065797659	0.727078309
YLR039C	-0.183973665	0.080445288
YBL030C	-0.282200988	0.000313055
YJL022W	-0.2175761	0.866115074
YHR214W-A	0.387222573	0.679141877
YOR318C	0.493984945	0.014133948
YKR081C	0.111352941	0.539703303
YPR096C	-0.471294322	0.736121091
YBR111W-A	0.017665299	0.959536243
YNL240C	0.141392761	0.363536559
YLR256W-A	0.381317356	0.614605649
YDR166C	0.033859921	0.842862338
YMR289W	-0.031986195	0.861179208
YOL154W	0.466872408	2.25e-05
YFR012W-A	-1.441028926	0.056187984
YGR014W	0.047701754	0.821991263
YCL055W	0.178179131	0.189154954
snR40	0.129999537	0.83510275
YGR046W	-0.021817975	0.883636314
YNR038W	-0.067153073	0.72697027
YPR098C	0.163083455	0.288119558
YOR192C-A		
YAL022C	-0.052802366	0.78512545
YIL047C-A	0.243186018	0.684743856
YGL061C	0.037435094	0.840687312
YML068W	0.064199503	0.680099284
YMR119W	-0.097744231	0.48035215
YDR323C	-0.076201843	0.684508634
snR80	-0.225146964	0.87774565
YIL103W	0.151648905	0.112809712
YKL125W	0.203090605	0.29849025
YJR132W	-0.016223491	0.92299026
YJR032W	0.046853822	0.816098907
YER079W	0.083254845	0.626814222
YKL102C	0.139181286	0.885606068
YBL074C	-0.097020441	0.781037594
YML030W	0.113123912	0.737849874
YOL079W	-1.076403896	
YMR030W-A	-0.518125655	0.469926413
YLR076C	0.099950078	0.824868907
YML104C	-0.035599913	0.866808221
snR17b	0.147864217	0.769154677
YOR143C	-0.18706486	0.211444064
YPL223C	1.082737993	6.53e-09
YFR027W	-0.263589756	0.387354049
YGR277C	0.09413416	0.586771864
YLR102C	0.187448096	0.160753112
YBL004W	0.144169447	0.089034385
YJL023C	0.194121417	0.125565458
YER084W-A	-0.075448005	0.976880499
YNL159C	0.084252723	0.662415792
YAR075W	-0.169826701	0.913912902
YMR300C	-0.031426152	0.890265368
tD(GUC)G2	0.754262375	0.713508678
YJL189W	0.227831586	0.869517708
YML025C	-0.081293399	0.597363593
YPR088C	0.077111966	0.608727371
YER053C	0.291238241	0.062271294
YCL039W	0.173094857	0.445419311
YHR165C	-0.010034731	0.950340459
YPL257W-B		
YHR056C	-0.164076793	0.495450493
YPR139C	-0.01450854	0.936643718
YCL048W-A	0.849861041	0.002021403
YBL052C	-0.007028091	0.977961066
YJR155W	0.035660404	0.892660943
snR39	0.020424534	0.981365646
YOR354C	0.051247776	0.664038399
YPR003C	-0.07648465	0.620008753
YLR154C	0.174856691	0.354403205
YCR064C	0.511084331	0.393013925
YGL067W	-0.04340267	0.832549832
YOR084W	0.125992801	0.685844986
YNL174W	-0.326938266	0.909560937
YPR109W	0.162845173	0.124686483
YBR165W	0.122074755	0.416523359
YOR327C	0.093861128	0.687201786
YLR357W	-0.196118222	0.336992368
YHR068W	0.096101778	0.390784526
YHR034C	-0.302624883	0.059669345
YML113W	-0.124818324	0.631100844
YOR010C	0.792579159	0.000174464
YPR107C	0.089201533	0.638656963
YHR128W	-0.063470402	0.734786312
YJL162C	0.105134582	0.535228229
YJL222W-A		
YHR193C-A	-0.244861142	0.904430661
YOL018C	0.175214383	0.090162981
YGR238C	-0.292209782	0.051985407
YAL047C	-0.223306556	0.087661689
YOL016C	0.011499346	0.950505888
YLR144C	-0.115165466	0.451611397
YBL006W-A		
YNR011C	-0.219219466	0.047733302
YLR463C		
tM(CAU)D	-1.923927372	
YOR108W	-0.638076231	2.84e-10
YGR270W	-0.130303578	0.202553239
YLR141W	0.092179049	0.712429947
YBR041W	-0.376946442	0.000173239
YKL141W	-0.059527313	0.762966412
YLR104W	-0.002024424	0.993689138
tD(GUC)D	-0.869008281	
YGR291C	0.827774887	
YPL279C	-0.279652431	0.603621965
YPR037C	0.024389256	0.91739459
tE(UUC)M	0.099029023	
YDR526C	0.031716078	0.985299206
YOR113W	-0.146832631	0.322055576
YLR437C-A	-0.440030561	0.852724497
tC(GCA)P1	-0.19535799	
YGR122C-A	-0.218993092	0.685844986
YHL040C	0.015624653	0.943083059
YEL032C-A		
YIL092W	0.003809657	0.988106983
YIL036W	0.043688947	0.760762885
YDL052C	-0.094945722	0.622177864
YDL083C	0.039435294	0.892816135
YLR383W	-0.063818875	0.791611198
YPL131W	-0.013684485	0.958335214
YGR201C	0.170989632	0.256519672
YOR322C	-0.06817342	0.766960727
YPL089C	-0.144557989	0.450527035
YKL045W	0.112793603	0.32441175
tG(GCC)C		
YLR079W	0.01147548	0.962632672
YBR188C	0.075661479	0.754362583
snR37	-0.255249431	0.62288904
YHR133C	-0.045020145	0.820261737
YMR176W	-0.035161598	0.808403088
snR53	0.085121731	0.975046655
YOR151C	0.035473717	0.756370267
YKR062W	0.057457178	0.725333254
YDR429C	0.114580578	0.598524006
YCR061W	-0.019761338	0.958335214
YDR361C	0.120695808	0.411021276
YEL051W	0.083913998	0.732914046
YBR017C	-0.148277603	0.217093067
YNL133C	0.10864768	0.643026327
YKR002W	-0.043963726	0.794763091
YAR066W	-0.112276626	0.951206024
YDR406W	0.29917417	0.443108472
YDR194W-A	1.386302644	
YDR351W	-0.062336579	0.662415792
snR75	0.04368535	0.942965852
YDL003W	-0.157396789	0.490931289
snR35	0.137867387	0.769578134
YHR121W	-0.040349928	0.871009935
YOR008W-B	0.478366285	0.689277419
YMR200W	-0.021185917	0.908977448
YFL047W	-0.103314065	0.525489453
YDR034C	0.078191165	0.651065812
YDR011W	0.143890371	0.378744295
YBR016W	0.016600158	0.948573847
YGL263W	-0.304431487	0.426949687
YCR027C	0.107787909	0.542696236
YEL018W	0.110714258	0.632346881
YCR010C	0.992745768	1.37e-05
YLR162W-A	0.613164263	0.663941596
YCR047W-A		
YIL131C	-0.052342755	0.821999837
YLR137W	-0.107113243	0.664038399
YKL080W	0.075983131	0.530663504
YLR083C	-0.104918575	0.446547573
YGL244W	0.023482004	0.885606068
YFR012W	0.140626441	0.667212445
YNL130C-A	-0.562808782	0.55474387
YOR348C	-0.005139834	0.989634308
YNL129W	0.057659889	0.793405833
YDR425W	-0.246291004	0.19632916
YJL117W	-0.115383856	0.413371419
tS(AGA)L		
YOR257W	0.233801342	0.202120122
YHL046C	1.962174013	
YAL037C-B	0.134898906	0.821991263
YDL110C	0.114744844	0.668002635
YIL020C	0.022497576	0.925016154
YIL095W	-0.296931701	0.003960841
YMR272W-A		
YER145C	-0.281874365	0.063239008
YOL143C	0.00254226	0.99174829
YNL124W	-0.140210683	0.493665684
YML009C-A	-0.001405614	0.997778227
YDR157W	0.248742155	0.530663504
YGL029W	-0.071665584	0.855259506
YGR072W	0.217473095	0.048891917
YGR217W	-0.287895943	0.033283194
YGL001C	0.024497417	0.87774565
YKL163W	-0.47238509	0.030179978
YIL127C	0.110516537	0.609610324
YNL104C	-0.192770964	0.02567339
YOR236W	-0.105518878	0.651065812
YOL077W-A	-0.071855514	0.860938865
tD(GUC)I1		
YDR326C	0.025594463	0.884326461
YNL218W	-0.021466818	0.917217454
tT(UAG)Q2		
YIR018C-A	0.794136103	0.010132327
YPL121C	-0.489667484	0.667355358
YEL020C	-0.164007628	0.263568064
YNL207W	0.034680947	0.844145997
YMR238W	-0.041815899	0.789036318
YOR242C	0.215868093	0.432755287
tN(GUU)Q		
YGR251W	0.242148087	0.081324605
YPL051W	0.109200711	0.573992044
YKL016C	-0.114548679	0.713597953
YBR056W-A	0.033097407	0.942152334
YBL076C	-0.018476925	0.873284847
tQ(UUG)E2	0.497372771	
YML066C	-0.19359564	0.292925562
YGR116W	0.012983736	0.914223694
YLR338W	-1.312311633	
YMR292W	0.017192402	0.942856068
YKR003W	0.076015617	0.549639139
YNL336W	0.172158428	0.484608248
YBR141C	-0.068691094	0.771472109
YAR019C	-0.092028723	0.74874481
YPL059W	0.060673006	0.771472109
YDL048C	-0.482809273	3.62e-05
YBR126W-B	0.1092571	0.820012926
YDR073W	0.062089477	0.737623081
YHL012W	0.026369394	0.89077488
YMR151W	-0.249825786	0.525243516
YPR083W	-0.389020393	6.24e-06
YMR219W	-0.012453454	0.951069082
YPR154W	-0.075053743	0.773368257
YOL003C	-0.081311305	0.599217635
YLR157C		
YBR181C	0.063877038	0.861541724
YBR260C	-0.339701375	0.024681857
YKL106W	-0.023153704	0.92390264
YER008C	-0.073887536	0.603621965
YEL031W	-0.238848056	0.030390819
YMR138W	0.0923045	0.698650389
YBL062W	0.476937045	0.527213661
YML129C	-0.023174678	0.949359357
YDR059C	0.042075078	0.844466
YNR062C	-0.467785163	0.033353869
YDR343C	0.110180256	0.789562142
YMR158W	0.109322777	0.60402579
YDR182W	-0.14660235	0.22717056
YDR014W-A	0.272763279	0.587960188
YNL276C	0.216988123	0.801836916
YJL218W	0.160721639	0.462114318
YBR264C	0.049683871	0.829649784
tL(UAA)B1	-1.242792375	
YAR020C	0.136472578	0.818775653
YDR034W-B	0.02831515	0.95842574
YPL036W	0.395285754	0.029742199
tL(UAA)B2	-1.946327844	
tL(CAA)L	-0.421269481	0.779802513
YGR257C	0.021539021	0.910082925
YDR170W-A	0.084810396	0.787958612
YER182W	0.140509151	0.429639286
YDL160C-A	0.093332593	0.813519728
YDR204W	-0.028086893	0.879032362
YDL041W	-0.050201609	0.985726201
YPL277C	-0.059373333	0.887947185
YFR004W	0.07646947	0.683680972
YGL139W	-0.069723971	0.700408766
YCL045C	-0.294334664	0.00102352
YNR045W	-0.105037811	0.353883622
YBR058C	-0.053733469	0.731244037
YDR331W	-0.044099318	0.782082
YOR019W	0.272158864	0.012664854
YDR117C	0.034634277	0.818775653
YBR126C	-0.06369902	0.685158831
YHR134W	0.101816694	0.538531434
YER059W	0.072514231	0.571988727
YER141W	0.006839922	0.96425031
YJR029W		
YBR026C	0.035247826	0.845222236
YJL169W	-0.331013916	0.51332939
tD(GUC)Q		
YIL013C	-0.065127224	0.691913072
YML096W	0.052228318	0.734786312
YPL148C	0.218379404	0.191682972
YFL036W	-0.075461877	0.543215245
YDR045C	0.066128404	0.787958612
YOR173W	0.085246717	0.66594254
YNL204C	-0.138765756	0.698518462
YER181C	0.256375337	0.81442559
YGL236C	-0.046214376	0.808403088
YKR070W	-0.027467426	0.87774565
YNL106C	-0.121408104	0.467869743
YJL136W-A	0.098760235	0.961690723
YPL212C	-0.226822762	0.156220195
YNR076W		
YPL165C	-0.023485557	0.904430661
YDR034C-D	-0.141052202	0.842862338
YJL036W	0.071810697	0.574611165
YLR403W	-0.033907375	0.879032362
YFR031C-A	0.041604612	0.87753313
YOR044W	0.259034045	0.09128279
YFL061W	-0.865469697	0.402473435
YOR027W	-0.029047693	0.840473526
YJL187C	-0.259033034	0.11947585
YKL164C	-0.02356002	0.866440598
YLR133W	-0.439447691	0.000556588
snR19	-0.139684195	0.736121091
YDL151C	-0.127036272	0.907545399
YCL021W-A	0.163314428	0.638852515
YMR281W	-0.024296848	0.890318831
YNL306W	0.057503912	0.790690736
tG(GCC)J2		
YBR255W	-0.116585401	0.383901914
YMR268C	-0.068483768	0.778268322
YOR390W	-0.00406502	0.99439665
YNL022C	0.087905229	0.500798655
YGL041C		
YBR201C-A	0.206960915	0.410520274
YNL094W	-0.160585028	0.186969087
YKL108W	0.080111802	0.768804002
YJL004C	0.176600022	0.209974121
YNL160W	-0.205720763	0.136051324
tI(AAU)I2	0.820362139	
YHR125W	0.505662252	0.536994322
YOR025W	0.098981942	0.740435909
YML006C	-0.407057863	4.01e-05
YFL002W-A		
YAR033W	0.297734347	0.139917036
YCR040W		
YPL073C	0.168442277	0.852914057
YER064C	-0.01542618	0.942731836
YFL011W	2.180999264	1.6300000000000001e-21
YDR207C	-0.133187812	0.485042249
YPR187W	0.107973972	0.732914046
YHR099W	0.148038354	0.070331813
YCR077C	-0.004542144	0.987449937
YCR097W-A		
YDL204W	-0.140498219	0.551748541
YBR033W	-0.722402118	4.62e-25
YHR219W		
YBR129C	0.037824564	0.831646173
tQ(UUG)B	1.197425699	0.631958204
YIL108W	-0.058885218	0.782024766
YDR400W	-0.008020769	0.972904306
YLR181C	0.062055923	0.711809805
YLR436C	-0.188843774	0.209818267
tR(UCU)M1	1.801554259	
YCR024C-B	0.084230609	0.678304467
YJR039W	-0.044154568	0.830848306
YLR007W	0.213546035	0.052323382
YBR247C	-0.128570562	0.473631066
YMR278W	-0.21341009	0.07639288
YDR514C	-0.387428865	0.000868963
YLR290C	0.085618357	0.608342888
YOR079C	0.018449014	0.922872652
YPR019W	-0.154576581	0.288249845
YMR305C	-0.1525522	0.230857768
YOR344C	-0.093111716	0.463583371
YKR042W	0.03399129	0.807662543
YPL140C	-0.04425735	0.803925168
YLR111W	-0.209150894	0.856033589
YPR064W	0.095809255	0.891809884
YDL179W	-0.034668975	0.838199876
YAL002W	-0.169899058	0.12476284
YDR250C	0.094014835	0.941167788
YLR121C	-0.390929169	0.002507207
tI(AAU)E2	0.839734524	
YNL223W	-0.04859573	0.787958612
YBL073W	0.018682985	0.984477947
YLR268W	0.072343638	0.679736903
YGR271C-A	0.095695052	0.654922201
YLR361C-A	0.155775725	0.597729272
YOR285W	0.101739454	0.642136504
YOR375C	-0.916640704	8.190000000000001e-32
YNR032C-A	0.219472595	0.343054058
YIL064W	0.012087349	0.957378132
YKR010C	0.03852852	0.870037478
YOR352W	0.164033223	0.11847302
YNL238W	-0.206455483	0.067272709
YHR166C	-0.129346854	0.529314067
YER056C-A	0.069800905	0.838344147
YGL059W	0.065672469	0.695565883
YJR139C	0.102382871	0.335715156
tL(CAA)K	0.099028719	
YKL011C	0.084115247	0.602368787
YNL083W	-0.094980252	0.546753122
YLR369W	-0.123764943	0.275336408
YJR159W	-0.201965011	0.871985948
YGL221C	0.090035524	0.525243516
YKL085W	-0.335003304	0.000147428
YBL009W	-0.084674925	0.692671641
YJL060W	-0.659977672	0.000154095
YNL316C	-0.127374467	0.495450493
YHR139C-A	-0.427551148	0.431690639
YLR306W	0.132494582	0.466882642
YNL271C	-0.0579208	0.736577297
tS(UGA)Q2		
YLR417W	-0.178987911	0.208487731
YCL020W		
YIL024C	0.119912756	0.538531434
YML116W	0.191624705	0.178281386
YPL117C	0.150443535	0.18108525
YLL005C	-0.030706463	0.874684074
YDR459C	-0.10160879	0.57553202
YGR104C	0.06359772	0.771472109
YDL011C	-0.019191819	0.992981079
YMR043W	-0.363579016	5.42e-05
YJL125C	-0.010578243	0.958453807
YIL052C	0.130032835	0.728034576
YAL014C	-0.124783083	0.466454438
YCR007C	0.284080901	0.035890183
YHR105W	0.041963322	0.907545399
YDL032W	-1.162005586	
YER034W	-0.410462093	0.072031341
YDL090C	0.099723812	0.476678411
YOR115C	-0.004054709	0.985726201
YKL134C	-0.443832877	9.28e-07
YPR172W	-0.043617865	0.829503795
YCR097W	-0.644565546	
YOL115W	-0.029140184	0.864554001
YMR172W	-0.226059649	0.137847536
YPR125W	-0.295389736	0.014787398
YKL094W	0.045771833	0.778393815
YJL019W	-0.212215184	0.335288177
YOR244W	0.038224727	0.789562142
YNL003C	-0.02047463	0.920967044
YHR126C	1.459635527	0.000706577
YMR159C	0.48035365	0.760172356
tS(AGA)D2	0.479565353	0.837123785
YJL037W	0.671524762	1.15e-05
YGL248W	-0.005364345	0.975741393
YLR245C	-0.095623476	0.773135713
YDR191W	-0.158400456	0.507114934
YMR280C	-0.381769866	2.13e-06
RUF5-1		
YGL173C	-0.029634631	0.82893599
YHR123W	-0.110434232	0.542871336
YGL118C	0.292722417	0.797097845
YJR013W	0.136050399	0.290636138
YGR135W	0.077218968	0.715463425
YOR303W	0.057043378	0.78512545
YLR362W	-0.051402653	0.78512545
YFL017C	0.050956161	0.810339678
YBR193C	0.023755686	0.910082925
YLR074C	0.127742256	0.574806317
YGL068W	0.056804031	0.835598993
YDR232W	-0.133857369	0.33383053
YLR421C	0.043718399	0.882135299
