	log2FC	FDR
YBL015W	-0.991383197	2.23e-44
YHL040C	0.015624653	0.943083059
YNL003C	-0.02047463	0.920967044
tF(GAA)H1	-0.23074921	
YNL079C	0.134879041	0.795680041
YER134C	-0.077978965	0.787190635
YDR023W	0.067871224	0.712409421
YJR078W	-0.454131926	0.006149199
YGL109W	0.095070324	0.791611198
YLR264C-A	-0.085694606	0.791439281
YIL162W	0.181194249	0.024179613
YLL051C	-0.078649734	0.757741791
YER148W-A	-0.169183871	0.831646173
YGL144C	-0.044628935	0.856099616
YOL049W	-0.000157833	0.999046763
tD(GUC)I2	0.099029073	
YER044C	0.2440775	0.066921493
YOR044W	0.259034045	0.09128279
YDR181C	0.086753971	0.576398312
YNL240C	0.141392761	0.363536559
YNL130C	0.002522867	0.989634308
YJL155C	0.037035359	0.82163518
YJL082W	-0.230122936	0.034226868
YOR009W	0.244065588	0.479466581
YCR047C	-0.013571684	0.957045159
YJL202C	0.305798117	0.348329393
YPR030W	-0.130554693	0.163515313
SCR1	-0.073988298	0.821991263
YPL143W	0.090624427	0.916404379
YER107W-A	-0.190732001	0.743558828
YDR164C	-0.038398544	0.811936997
YIL053W	-0.043418762	0.82525324
YIR030C	-0.133927957	0.553749965
YKR085C	0.112854357	0.608727371
YLL008W	-0.020361696	0.896682954
YGR258C	-0.173638622	0.324717698
YBL064C	0.001069108	0.997158951
YHL013C	0.118135645	0.462544964
YER089C	-0.040089024	0.861179208
YBR109C	0.074666133	0.789218697
YNL262W	-0.190171874	0.202696991
YOR048C	-0.007991758	0.969283017
YLR006C	-0.270999766	0.126053352
YCL061C	-0.16474455	0.425163059
YCR028C-A	0.102134454	0.65317724
YCR072C	-0.316861985	0.203635671
YOL115W	-0.029140184	0.864554001
YNL050C	0.113169443	0.571988727
YMR222C	-0.033999597	0.874684074
YJL177W	0.069085674	0.789218697
YDR498C	-0.321735119	0.058980807
YGL016W	0.077337745	0.689277419
YNR005C	-1.864347016	
YNL065W	0.209846339	0.451301084
YHR183W	-0.185548279	0.038730472
YCL017C	-0.190141901	0.103140183
YPR016C	0.092025103	0.525243516
YIL083C	0.196925763	0.035129178
YNL073W	-0.255703493	0.056187984
YCL032W	0.002709158	0.988697053
YNL141W	0.150346963	0.16020248
YPL008W	-0.065790266	0.643873423
YDL010W	0.12088189	0.587071739
YGR160W	-0.458705021	0.603471896
YJL027C	-0.193687633	0.881651687
YJR084W	-0.236911475	0.05477447
YLR454W	0.001232906	0.995944873
YMR150C	0.087101564	0.657704094
YER054C	0.538906836	0.000169507
tR(CCG)L	0.099028593	
YKL035W	0.012163417	0.948573847
snR53	0.085121731	0.975046655
YKL081W	-0.062316436	0.637123006
YPL154C	-0.014642369	0.921518571
YPL030W	-0.16844601	0.608727371
YJL099W	-0.034495892	0.830275696
YNL022C	0.087905229	0.500798655
YCL005W	-0.128206358	0.562732664
YER095W	-0.066089598	0.756370267
YLR194C	-0.1537475	0.17025783
YDR058C	0.155255027	0.203635671
YBR119W	0.020689361	0.909011351
YML001W	0.068836846	0.659008408
YOL119C	0.536763563	6.71e-09
YGL096W	0.190221669	0.24153167
YPL053C	0.087308203	0.517375339
