	log2FC	FDR
YKL197C	-0.097404094	0.553663236
YIL150C	-0.367825714	0.033584692
YER093C-A	0.127447412	0.530663504
YKL175W	-0.232279392	0.125053781
YLR091W	0.001940192	0.994051985
YLR017W	0.115868786	0.322541246
YIL153W	-0.182208488	0.39094145
YNL184C	-0.059367087	0.95830377
YJR162C		
YAR068W	0.285266656	0.873284847
YGL199C	-0.574867637	0.812873943
YNL071W	-0.039127501	0.787190635
YNL254C	-0.075056059	0.735167994
YER101C	-0.106922839	0.540952218
YLR099C	0.007337837	0.975545154
YLR077W	-0.008841692	0.95842574
YDL022W	-0.108939157	0.454189797
YCR046C	-0.030142448	0.893220204
YJL010C	-0.073780016	0.722548867
tQ(UUG)D1	2.169722414	
YNL115C	0.067849465	0.717875165
YPL173W	0.051342018	0.767346591
tW(CCA)J	-0.622310381	
YHR143W-A	0.103827649	0.725715831
YNL288W	-0.273473966	0.072031341
YMR014W	0.06274837	0.711809805
YHR146W	0.030812616	0.846708528
YKL216W	-0.077497592	0.643873423
YOR238W	0.174988436	0.177108798
YIL152W	0.024384707	0.909560937
YMR316C-B	0.006478639	0.993239592
YJR141W	0.199032079	0.085314091
YGL188C	-0.252737677	0.389533419
YGL217C	-0.355873933	0.830848306
YJL080C	-0.125659329	0.298861908
snR189	0.086982595	0.910082925
NME1	0.123441201	0.812873943
YHR178W	-0.123433521	0.605161656
YGL084C	-0.03035608	0.850582926
YLR466C-A		
YCR051W	0.100710397	0.491978917
YLR286W-A		
YBR176W	0.094161905	0.651487608
YGR161W-C	0.291105705	0.085910039
YKR014C	0.056571518	0.788072527
YPR199C	0.103012448	0.488036523
YOL015W	0.26307314	0.120547905
YPL247C	-0.239513198	0.176480851
YML096W	0.052228318	0.734786312
YPL155C	-0.094884932	0.667355358
YER180C-A	-0.222772844	0.553058942
YHR039C	-0.01486264	0.917217454
YJL191W	0.075283905	0.75460091
YBL064C	0.001069108	0.997158951
tT(AGU)O2	2.105514696	
YMR074C	0.111152136	0.541042146
YKL018W	-0.106002904	0.587071739
YEL013W	0.097900945	0.465545821
YER008C	-0.073887536	0.603621965
YER183C	0.077968769	0.678517042
YAL030W	-0.078053671	0.754828534
YPL045W	-0.037887021	0.818057282
YDL213C	0.154284891	0.339398551
YMR188C	0.08653243	0.661612853
YPR005C	-0.057114919	0.816098907
YOR051C	0.139039739	0.249561791
YNL261W	0.009064923	0.96355165
YJL127C-B	0.127181913	0.620008753
YER039C-A	0.137097039	0.784648763
YDR351W	-0.062336579	0.662415792
YDR024W	-0.056451416	0.937420756
YHL002W	-0.097636542	0.540694483
YLR273C	-0.04938145	0.793070867
snR66	0.119485512	0.877803601
YDR016C	0.145973872	0.643911893
YEL018C-A	-1.930243962	
YGR296W		
YOR370C	0.030146299	0.837123785
YMR067C	-0.236496881	0.081864947
YDL237W	-0.042505774	0.793278999
YPL086C	0.013167875	0.935049991
YBR111C	0.050438329	0.833479002
YOR161W-B		
YLR107W	0.066103382	0.679141877
YGR063C	0.063663279	0.853816613
YOR186W	0.175958614	0.752674048
YDR170C	-0.121306084	0.321292483
YEL057C	-0.052860029	0.831266361
YER007W	0.084517796	0.625656253
YPR078C	0.186696929	0.559026031
YBL038W	-0.052047633	0.782573692
YHR154W	0.006386695	0.985299206
YHL030W-A	-0.611859604	0.640576495
YDR176W	0.0286814	0.820012926
YBR114W	-0.236375051	0.51976874
YHR007C-A	-0.229606996	0.550416113
YPL055C	-0.018138635	0.930234933
YGR094W	-0.067263796	0.481886421
YFR036W-A	-0.116859576	0.856033589
YGR248W	-0.312427306	0.182462495
YBR011C	0.014748962	0.945022719
YMR306C-A	1.018513379	0.166065411
YPR006C	0.695205718	3.9e-15
YGL071W	-0.096841791	0.740435909
YGR133W	0.10349715	0.639313796
YDR481C	-0.116652981	0.339398551
YPR100W	0.074551207	0.824868907
YPL008W	-0.065790266	0.643873423
YNL175C	0.103951242	0.489143595
YBR085C-A	0.017528263	0.958335214
YGR183C	-0.049438253	0.864153619
YLL058W	-0.271325713	0.080132202
YGR144W	0.240162547	0.359957918
YNL333W	-0.315418571	0.299250256
YMR284W	-0.051121647	0.791340347
YBL100W-A		
YPR071W	-0.073729039	0.76950454
YGR035C	0.824824592	1.48e-08
YKL198C	0.141737789	0.591960648
YOR016C	0.036881856	0.845222236
YDL200C	0.232189665	0.077517957
YER016W	0.007454669	0.967959996
YDR441C	0.015006655	0.958892749
YNL176C	-0.221601931	0.140473648
YDL129W	-0.001448829	0.997158951
YPR121W	-0.149763266	0.380932559
YKR001C	-0.085595916	0.428885546
YNL290W	-0.090237547	0.540952218
snR79	-0.000724158	0.999337168
YER095W	-0.066089598	0.756370267
YGL064C	-0.24598978	0.04397546
YPL018W	-0.098839533	0.734101518
YOL157C	0.515209831	0.002099569
YCL030C	0.140094729	0.203635671
YCR066W	-0.416041407	0.000740044
YOL001W	0.213034538	0.085399544
YKL103C	-0.246020493	0.049662906
YOR221C	-3.625477805	6.61e-98
YBL066C	-0.368387698	0.012066797
YOR024W	0.134891354	
YMR138W	0.0923045	0.698650389
YHR127W	-0.047227866	0.817578131
YBR062C	0.170975926	0.248945577
YIL164C	-0.114506218	0.684867799
YNL187W	-0.282930131	0.126053352
YDR235W	0.041877295	0.79352116
YGR267C	0.042946387	0.795680041
YMR057C	-0.213105811	0.78512545
YPL066W	-0.196980232	0.070379404
YNL089C	0.139514046	0.808403088
tV(UAC)Q		
snR11	0.264460865	0.150713966
YJR014W	0.071634158	0.787190635
YDR362C	0.04523069	0.793278999
YHL007C	-0.054035681	0.78142428
YFR016C	-0.039027107	0.808403088
YLR286C	-0.031210649	0.798462887
tA(AGC)K1	-1.247314498	
YJL143W	0.066276197	0.748464729
YMR069W	0.203240284	0.787958612
YBR263W	-0.06135647	0.609610324
YDR012W	0.00760775	0.977667893
YNL120C	-1.203253313	
YCL043C	-0.004651832	0.976880499
YBR143C	0.039840912	0.804745575
YOL104C	0.4778458	1.36e-06
YOR325W	-0.266931045	0.790042273
YKR004C	0.137680508	0.353883622
YFL041W	-0.028919928	0.861010951
YDR006C	-0.040979007	0.82807728
YGL013C	-0.073000845	0.597363593
YHR182W	-0.254388043	0.119528555
YKL017C	-0.28413565	0.018824924
YDR078C	0.367961482	0.004788971
YNL019C	-0.307319218	0.719343713
YGR038C-A		
YNL062C	0.001635624	0.993689586
YJL097W	-0.003663321	0.988106983
YPR073C	0.042850373	0.856033589
YPL112C	0.099426873	0.458760658
YLL019W-A		
YGL263W	-0.304431487	0.426949687
YMR315W-A	0.178929701	0.787958612
YHL044W	0.475350808	0.017405158
YPR158W-A		
YEL035C	-0.214435565	0.771472109
YCL035C	0.101187765	0.773368257
YOL076W	-0.11167775	0.612579785
YJL052W	0.142592713	0.448271426
YDR136C	0.036343532	0.959233164
YLR294C	-0.114161104	0.649932161
YGR271W	-0.101867053	0.418570955
YCL018W	0.099028593	
YOL013C	-0.091083098	0.468007784
YLR347C	-0.138228875	0.208900321
YLR255C	0.567241462	0.326308362
YPL235W	-0.007274856	0.962576229
snR44	-0.07721379	0.81324345
YDR210C-C		
tV(CAC)D	0.8956071	0.678304467
YJL190C	0.065528433	0.856099616
YMR059W	0.201145956	0.335363688
YGL221C	0.090035524	0.525243516
YNR003C	0.165189713	0.179564345
YGL181W	-0.149793341	0.241843268
tA(UGC)E	2.053610087	0.168963372
YMR247C	-0.113039639	0.369106356
Q0050		
YBR241C	-0.049136723	0.817174625
YNL109W	-0.12770166	0.865237289
YML077W	-0.058991894	0.806688747
YLL046C	-0.750371645	0.651487608
YOR239W	-0.148916057	0.298861908
YHR109W	-0.237150179	0.074764077
YCR082W	0.06495701	0.813822794
YLR154W-C		
YBR017C	-0.148277603	0.217093067
YDL246C	0.168190193	0.91421918
YBR126W-B	0.1092571	0.820012926
YIR032C	0.274411996	0.1627217
