	log2FC	FDR
YPL140C	-0.04425735	0.803925168
YDR466W	-0.200592977	0.085185124
YAL029C	-0.00722895	0.958892749
YML009C-A	-0.001405614	0.997778227
YGR104C	0.06359772	0.771472109
YLR139C	-0.239648362	0.398584734
tR(UCU)M1	1.801554259	
tL(CAA)L	-0.421269481	0.779802513
YGR040W	0.026180687	0.881116791
YMR262W	-0.173516619	0.323510543
YDR094W	0.052288723	0.958335214
YJL187C	-0.259033034	0.11947585
YER155C	-0.068131165	0.62371981
tV(AAC)O	1.319290062	0.511695432
YGR296C-B		
YMR066W	-0.06294653	0.712429947
YDR272W	0.05835736	0.772735584
YLL003W	0.029707916	0.856033589
YNR048W	-0.199166434	0.262183038
YJL158C	-0.028453216	0.863930226
YGL161C	-0.013897102	0.937943515
snR32	-0.119197728	0.839748823
YAL049C	-0.054847064	0.759617417
YEL051W	0.083913998	0.732914046
YKL096W-A	0.072309916	0.787190635
YLR383W	-0.063818875	0.791611198
YPR198W	0.106684936	0.458603912
YHR180W-A	-0.035933801	0.988106983
YIR026C	0.083266025	0.604453134
YKL010C	-0.094560907	0.415040538
tI(AAU)D	0.783964449	
YDR304C	0.077934878	0.709783935
YDR292C	0.045696473	0.713241829
tE(CUC)I	0.099028953	
snR191	-0.103441506	0.872337413
YPR088C	0.077111966	0.608727371
YGR072W	0.217473095	0.048891917
YHR059W	0.108037716	0.590851852
snR65	0.283422342	0.820012926
YLR289W	-0.013423026	0.946253653
YPL133C	-0.167148958	0.126362374
YOR062C	-0.113417546	0.598394326
YMR244C-A	0.076838797	0.862220715
YIR004W	0.104669266	0.388488513
YFR008W	0.09776261	0.597363593
YOR041C	0.122705027	0.948719139
YAL034C-B	-0.215174435	0.711540585
YOL079W	-1.076403896	
YDL192W	0.002865238	0.991042124
YOL142W	0.158449693	0.206762607
YGL129C	-0.111526808	0.408236884
YNL082W	0.062280361	0.787190635
YBL063W	-0.075106425	0.711471306
YLR334C	0.324036171	0.704319224
YJR079W	-0.158582171	0.78512545
YJR014W	0.071634158	0.787190635
YNL174W	-0.326938266	0.909560937
tV(AAC)K1	-0.194261265	
YDL119C	-0.041635287	0.843846851
YHR049W	-0.055651679	0.724769364
