	log2fc	p-adj
GIS1	0.08900933	0.274755765
SEC61	0.060694174	0.496999397
TRS65	-0.052469741	0.109150204
ROD1	0.239945691	0.002608196
PHO85	0.140260792	0.013501478
SEC31	0.005926885	0.862358194
MRPS9	-1.501325977	6.33e-05
PKC1	0.177452436	0.004061857
VMA10	0.08068548	0.377523591
FMP37	0.10817036	0.039494298
ACF2	0.132320156	9.14e-05
KRE6	-0.394438995	7.62e-05
SRP54	0.037343569	0.420257365
HER2	-1.034461548	0.000156462
SPT15	0.133973159	0.034576018
MVP1	0.265940156	0.073938253
RPC17	-0.027530933	0.817074275
NPC2	0.897628567	2.56e-05
MRPL24	-1.161527389	0.002721614
RIB7	0.182209672	0.204447735
MED11	-0.087485712	0.396603368
FAR8	0.134220164	0.140549523
LSM7	-0.017000488	0.860534196
RPL36B	-0.384405998	0.026301999
RKR1	0.137089693	0.044722467
NFI1	0.094268549	0.142455767
HER1	0.357830301	0.000343753
SCS7	0.350389143	0.121462139
TRI1	0.215820965	0.007707422
NOP14	-0.127867827	0.109891804
MBF1	-0.261715608	0.005449836
CUL3	0.313375332	0.007523953
RUB1	0.169447815	0.170897656
ALG9	0.274526383	0.026188329
CIT2	3.257590343	1.65e-05
STI1	0.053321163	0.227279286
PEA2	0.077988217	0.009154649
FAS1	-0.54360468	9.8e-05
SCW4	0.726933359	0.004128879
RAD5	-0.01193506	0.835735796
MAL33	0.678391683	0.051181311
IRS4	0.343842863	0.02584946
RTG2	0.068172758	0.325365434
SDT1	-0.164901869	0.004836427
COF1	0.314409626	0.156059783
PRP42	0.19916456	0.012741135
SKN1	-0.108373253	0.314042044
FPR1	0.220178127	0.394495914
KNH1	0.940246067	0.002226304
RGA2	0.194391034	0.043036432
DAD3	-0.384585988	0.417185127
YKR078W	0.057396822	0.383436493
RSF2	-0.937678569	4e-06
ERS1	-0.071466366	0.146463355
GPI17	0.244772611	0.006720009
HYM1	-0.308494663	0.062087829
NDE1	-1.096310302	0.005153224
AVT7	0.185102327	0.159454173
TYW3	0.000468538	0.987862068
SHR5	0.103781819	0.418371457
UBX3	0.107422141	0.232447559
AFG2	-0.0334687	0.703410809
YMR010W	-0.127512063	0.223100543
MRM2	-0.396271759	0.001311903
CDC23	0.29976417	0.01821629
ARC1	-0.351387537	0.008356679
YEA6	-0.272257036	0.012996075
MNN11	0.06836023	0.169012463
YLR278C	0.173182499	0.07509568
CDS1	0.003357555	0.96885179
RRP40	0.168511473	0.103043573
RAD9	0.294565664	0.001292869
TAM41	-1.042905977	1.06e-06
RTT107	0.211425163	0.017886522
GPX1	-0.074522727	0.700756522
CSE2	-0.192752407	0.371457696
ISF1	-0.274329659	0.017133579
ESF1	0.131862672	0.009120603
GPI10	0.173477152	0.047276638
ARP6	0.32047192	0.001556819
YMR221C	-0.016198368	0.69245335
ATG26	0.181054691	0.083517518
YPL191C	0.342020772	0.071184803
SSH1	0.039322204	0.718656906
CCS1	0.209483869	0.162223563
HSP31	-0.934295921	6.49e-06
HSF1	0.131003146	0.208772374
RFC4	0.044228127	0.444130047
NAT3	-0.014814173	0.966871057
UME1	0.079882169	0.255697406
RIM1	-0.061668515	0.553389729
VPS64	0.228218896	0.0232855
HSP10	0.154723828	0.133133821
SUR4	0.025249451	0.786835656
VTC2	-0.202117655	0.090974745
SSC1	-0.149589031	0.332331129
GSP1	-0.034300362	0.884073178
HSP150	-0.564457048	4.97e-05
SPC19	-0.170588032	0.406447694
PRP40	0.186780388	0.083106719
SAS2	0.107232191	0.603355745
CYB5	0.431138653	0.018693666
YRR1	0.690412454	0.00142162
GET4	0.089598167	0.387058136
BRL1	-0.057408263	0.468451854
PSK2	0.475914569	0.002168556
VAC14	0.062087841	0.425610656
PFA3	-0.142000575	0.676266896
MAC1	-0.073522955	0.503925512
IZH2	-0.001767328	0.981315948
SWP82	0.201811791	0.015502806
THO1	0.066660966	0.533048271
DPH2	-0.028750399	0.609860434
THI7	0.141459514	0.067840566
