	log2FC	FDR
YHR071C-A	0.335921227	0.559375505
YDR360W	-0.006660823	0.993689586
snR39B	0.103618747	0.883949132
YKR037C	0.147372735	0.362538999
tR(UCU)J2		
YEL013W	0.097900945	0.465545821
YPR175W	-0.140606148	0.577051464
YBL078C	0.002442868	0.99420959
YJR002W	0.056458169	0.695565883
YDR010C	-0.124697172	0.808403088
YMR012W	-0.194936366	0.000841063
YDL187C	0.332346066	0.808403088
YGR029W	0.225059601	0.04195766
YGR088W	-1.050048346	7.6e-09
YJR028W		
YPL080C	0.142553876	0.791439281
YGR173W	0.078639299	0.634978402
YCR010C	0.992745768	1.37e-05
YJR094C	-0.283072369	0.134040978
YPR058W	-0.21309689	0.273382916
YGL128C	-0.075467045	0.791611198
YIL052C	0.130032835	0.728034576
YOR279C	-0.099712512	0.566997094
YCR040W		
YOR157C	-0.156068005	0.202696991
tE(UUC)K	0.7475191	0.729968894
YLR016C	0.128546865	0.358391495
YBR035C	0.081129882	0.662149023
YLR439W	-0.333568976	0.052036856
YDR408C	0.203460256	0.092040987
YFL042C	-0.020921932	0.897373858
YOL047C	0.683577772	6.15e-06
YPR158W-B	0.276732051	0.879032362
YDR517W	0.089112377	0.507180865
YIL016W	0.004520961	0.987002486
YAL041W	-0.200430652	0.166949538
YGR197C	0.058679778	0.83510275
YPL001W	0.05369886	0.802941559
YNL271C	-0.0579208	0.736577297
YKR003W	0.076015617	0.549639139
YPL283C		
YOR150W	0.103294209	0.684743856
YIL073C	0.165035918	0.080247805
Q0115		
tD(GUC)J1	-0.645394046	
YML034W	0.130130378	0.230193599
YHR017W	-0.018098706	0.920421041
YHR007C-A	-0.229606996	0.550416113
YOR309C	-0.006147288	0.990328271
YBR107C	-0.071818428	0.756370267
ETS1-1		
YPL244C	0.028747344	0.864554001
YEL030W	-0.20049952	0.213239619
YGR077C	-0.144444667	0.326826763
YDR309C	-0.29142669	0.11287568
YEL015W	-0.060061719	0.640670985
YAL039C	0.209768668	0.048128262
YOR116C	-0.027570725	0.867925846
YKL095W	-0.021990201	0.915422513
YKL072W	0.40627553	0.00034048
YKL161C	-0.380906699	0.000220759
YGL133W	-0.134307019	0.216459648
YDL008W	0.101023994	0.624399116
tG(GCC)O2	-0.362668905	0.870037478
YDR135C	-0.05459641	0.65358545
YGL119W	-0.014488634	0.9454679
YMR175W-A	0.774534753	0.117855714
YDR334W	0.010493924	0.943337721
YKL022C	-0.024748487	0.893340011
YOL104C	0.4778458	1.36e-06
YPR105C	-0.094007078	0.466013353
YDR392W	0.045250799	0.803312719
YBR261C	-0.064451325	0.743109511
YGR221C	-0.040258668	0.880351879
YPR186C	-0.141690578	0.496006118
YIL176C		
YGL239C	0.014241647	0.988983199
tV(AAC)M1	0.683494914	0.785739855
YNL304W	-0.052727537	0.863283531
YOR011W-A	0.757952833	0.178721362
YHR144C	0.123665385	0.435684555
YNL064C	-0.001286936	0.993689586
YPL271W	-0.060245942	0.859135278
YLL035W	-0.545334613	0.008562445
YGL132W	-0.295109461	0.671033913
YCR081W	0.010159439	0.971677272
YJL015C	-0.003481724	0.997158951
YKL021C	0.023059637	0.893718509
YKL152C	0.10464291	0.804442465
YDR123C	-0.448740614	0.016044754
YHR088W	0.211112981	0.061726944
YML032C	-0.376479461	0.001497774
YAL032C	-0.206724804	0.126854202
YKL197C	-0.097404094	0.553663236
YLR062C	0.132750151	0.776769353
YDR227W	-0.120110555	0.575490678
YER070W	-0.283686339	0.193393205
YFL005W	0.0761969	0.687000374
YFR049W	-0.089223921	0.680299442
YHR188C	-0.03079124	0.879032362
YLR291C	-0.107023031	0.525243516
YEL039C	0.261199221	0.310085228
YBR273C	-0.090120299	0.513301169
YGL257C	0.05692299	0.680842958
YKL017C	-0.28413565	0.018824924
YGL178W	-0.647815884	4.74e-07
YPL258C	0.064668911	0.85162917
YKR060W	-0.09802803	0.651065812
YJR057W	0.159825929	0.336054544
YBL097W	-0.245897992	0.193393205
YMR203W	-0.042421363	0.781765282
YGL220W	0.088840563	0.757195897
YDR303C	-0.270829119	0.22509298
YOL035C	0.114603944	0.820689458
LSR1	-0.321328073	0.244587532
YLR027C	-0.075672994	0.570318836
YBR007C	-0.368066447	0.070379404
YLR347C	-0.138228875	0.208900321
YDR073W	0.062089477	0.737623081
YMR143W	0.076399607	0.825273004
YNL142W	-0.247083962	0.26474271
YNL266W	0.126929439	0.837636656
YGL112C	-0.00276214	0.988586619
tL(CAA)M	0.820362139	
YGL140C	-0.149745459	0.28143246
tH(GUG)M	3.563678352	0.044951068
YCL017C	-0.190141901	0.103140183
YOR072W	0.122472148	0.856099616
YPL133C	-0.167148958	0.126362374
YNR002C	-0.114933443	0.480555286
YOR091W	0.03049115	0.849247525
YOR299W	-0.190886972	0.106199363
YDR544C	0.493497748	
YNL212W	0.029111329	0.817693524
YER159C-A		
YLR284C	0.393853344	7.5e-05
YHR057C	0.000605888	0.997778227
YJL132W	-0.091966744	0.56630375
YLR341W	-0.313742926	0.206636919
YER068W	-0.34712378	0.024269559
YGR220C	-0.018317974	0.941167788
YBR055C	-0.062199554	0.631958204
YMR232W	0.014684341	0.973320647
YPR067W	-0.023087878	0.913443586
YNR074C	0.054814234	0.803312719
YKL075C	0.156680444	0.221752201
YDR545W		
YNL213C	0.001136557	0.997158951
YDR530C	0.054607789	0.727337041
YBR281C	-0.208423366	0.069080298
YDR445C	-0.196493249	0.812890933
YBL076C	-0.018476925	0.873284847
YMR004W	-0.172946699	0.171645499
YBL009W	-0.084674925	0.692671641
YBR204C	-0.161758712	0.33291808
YBR189W	0.059726923	0.86349162
YDL047W	-0.070438314	0.692970996
YDR194W-A	1.386302644	
YOR336W	-0.271276764	0.005265016
YJR140C	0.032331868	0.821999837
YBR043C	0.201653784	0.085314091
YKR041W	0.014640122	0.985299206
YKL055C	-0.441202829	0.011535262
YDL087C	-0.196645138	0.408245187
YDR207C	-0.133187812	0.485042249
YPL115C	-0.197883874	0.041797558
YLL006W-A	-1.240672393	
YHR114W	-0.097141959	0.536713576
YNR030W	-0.194629337	0.124438633
YHR207C	0.17959037	0.073309247
YLL033W	0.070269223	0.756370267
YLR153C	-0.103654667	0.416989217
YLR128W	0.190959312	0.139547928
YOL150C	-0.576209439	0.575490678
YGR267C	0.042946387	0.795680041
YPR061C	0.139727546	0.286301769
YDL194W	-0.123865109	0.253342938
YER001W	-1.199495409	1.22e-40
YMR319C	0.359282281	3.48e-05
YLR097C	0.123646214	0.411676728
YKL169C	-0.011510857	0.985726201
YLR012C	-0.471089276	0.803925168
YGR053C	0.263085619	0.090998065
tK(UUU)L	0.30002234	
YLR067C	-0.246906384	0.026427378
YLR443W	0.052850564	0.75423137
YCR006C	-0.332841611	0.173590659
