	log2FC	FDR
YML098W	0.109205918	0.597198078
YNL121C	-0.076316445	0.559026031
YFL002W-B		
tL(CAA)K	0.099028719	
YBR288C	0.065770091	0.661001724
YDR231C	-0.036974931	0.890318831
YOL126C	-0.230057015	0.031331024
YML010W	-0.037781582	0.833307292
YPR055W	0.016329891	0.915422513
YLR227W-B	0.252445858	0.602368787
YJL220W		
YBR073W	-0.149870356	0.316535228
YDL060W	-0.105689864	0.411676728
tV(CAC)D	0.8956071	0.678304467
YBR121C-A		
YLR359W	0.084814617	0.424701087
YKL198C	0.141737789	0.591960648
tL(CAA)D	-0.622310381	
tG(GCC)E	0.099028593	
YKL073W	-0.266314541	0.017273219
YDR148C	-0.51173245	4.12e-16
YGR283C	-0.116727563	0.344078993
YGL120C	-0.145423376	0.428132835
YBR279W	-0.01790362	0.907545399
YPR031W	-0.16694885	0.348442652
YBR187W	-0.081529435	0.614733099
YMR298W	0.14892342	0.425163059
tK(UUU)Q		
YPR004C	0.040823383	0.78512545
YGL087C	0.120368859	0.585084721
YLR418C	0.025510377	0.87774565
YDR459C	-0.10160879	0.57553202
tG(GCC)F2	-1.326778889	
YML085C	0.056212319	0.663941596
YCL058W-A		
YGR094W	-0.067263796	0.481886421
tY(GUA)F2	0.83977524	
YNL020C	-0.276409209	0.001609169
YAL063C-A	0.040903214	0.958335214
YKL065C	0.116095446	0.646726608
YGL042C	-0.051303777	0.862283622
YGL259W	-0.872946934	0.000169507
YLR372W	-0.006336618	0.971677272
YJR113C	0.060031184	0.777019288
YIL089W	0.214261016	0.202696991
YNL051W	-0.081164927	0.570583076
YBL016W	-0.223010398	0.192264409
YJR069C	0.018209473	0.927022124
YMR189W	-0.25241103	0.163515313
YBL024W	-0.124317993	0.399126835
YOL064C	0.040447261	0.811936997
YNL333W	-0.315418571	0.299250256
YIL082W-A	-0.201808975	0.29971871
YMR195W	0.283401343	0.122090402
YHR127W	-0.047227866	0.817578131
YFL031C-A	-0.075928926	0.874684074
YBR208C	-0.048721923	0.804442465
YJL113W	0.191325114	0.478877487
YDR477W	-0.075601391	0.679141877
YNL323W	0.063741977	0.687966103
YDR057W	0.019913783	0.894265065
YKR053C	0.075773911	0.715463425
YJL084C	-0.063964532	0.765660545
YGL151W	-0.101340479	0.542696236
YKR055W	0.032321743	0.876915869
YNR075C-A	-0.171822345	0.873608566
YBR216C	-0.070849694	0.664224696
YBR220C	-0.264708145	0.092054336
YAR020C	0.136472578	0.818775653
YGR035W-A	0.239102464	0.323746673
YIL119C	-0.309891653	0.012016255
YER139C	0.151588204	0.394834777
YDL211C	-0.166766452	0.601105397
YLR220W	-0.032246503	0.843089862
YCR012W	0.055311915	0.845222236
snR36	-0.104828858	0.866808221
YDR502C	-0.217915496	0.067633415
YML045W		
YHR185C	0.604330826	0.303464487
YER135C	0.469897701	0.294009572
YLR070C	7.08e-06	0.999941694
Q0075		
YDR284C	0.074855607	0.604453134
YCL010C	-0.002819879	0.99308391
YBR181C	0.063877038	0.861541724
YOR096W	0.043959429	0.892788
YOL125W	-0.054919569	0.788268475
RUF21	0.005305224	0.992513712
YLR243W	0.049463543	0.791439281
YER187W	0.39514504	0.051985407
YER057C	0.087810113	0.62371981
YKR007W	0.119332816	0.546753122
YPL202C	0.179325825	0.423517066
YLR272C	0.038965907	0.817693524
YLR041W	-0.731476598	0.256984358
YOR303W	0.057043378	0.78512545
YAL019W	-0.091934056	0.757685391
YGR201C	0.170989632	0.256519672
YDR095C	-0.604620908	0.724769364
YNL331C	-0.045774183	0.835598993
YLR233C	-0.342721919	0.001548415
YFR025C	-0.112882353	0.452678627
YOL123W	-0.008184693	0.963090264
YER116C	-0.029313632	0.889552632
YPL143W	0.090624427	0.916404379
YJR033C	-0.211701972	0.059619579
YBR131W	-0.248463897	0.170060948
YER082C	0.098404717	0.401667939
YLL049W	0.165329392	0.316535228
YGR158C	0.0670916	0.689277419
YLR282C	0.227488212	0.830354941
YHR071C-A	0.335921227	0.559375505
YCR064C	0.511084331	0.393013925
YDR302W	-0.006885287	0.978262918
YDR470C	-0.12725024	0.374263854
YML132W		
YMR246W	0.069713505	0.635410631
YML034C-A	0.202070382	0.87774565
YDR026C	0.146821376	0.163259731
YDR065W	0.053556467	0.78512545
YKR049C	0.16888922	0.366786426
YER155C	-0.068131165	0.62371981
tE(CUC)D		
YEL050W-A	-0.008987154	0.985726201
YPL203W	-0.0145794	0.934155759
YPR019W	-0.154576581	0.288249845
YDR186C	-0.09857753	0.494570345
YPR173C	0.073266235	0.537003067
YFL064C	-2.336485665	
YBL011W	-0.015169687	0.936353899
YDL243C	-0.107969023	0.60813119
YHR126C	1.459635527	0.000706577
YGR293C	0.27320102	0.855796165
YGR233C	-0.295108358	0.030179978
YLR177W	-0.112243494	0.348329393
YCR015C	-0.007960649	0.975545154
YGR070W	-0.273225186	0.037387011
YNL289W	-0.403541878	0.022361969
YBR052C	0.057665032	0.816098907
YPL119C-A	0.265434521	0.612579785
YCL031C	0.07498062	0.682308343
YDL012C	-0.009580333	0.971719111
YGR246C	0.073435999	0.606980431
YJR031C	0.10959897	0.415454544
YIR023W	-0.245359509	0.107268952
YMR187C	-0.098841496	0.65579081
tX(XXX)D	-0.910129482	
YGR271W	-0.101867053	0.418570955
YGR173W	0.078639299	0.634978402
YHL034C	0.015099148	0.95830377
YDR176W	0.0286814	0.820012926
YNL100W	-0.017758285	0.944280407
YPL029W	-0.153881459	0.277680978
YLR064W	0.050941828	0.789157796
YOR017W	-0.353690863	0.012819067
YOL136C	0.328126199	0.051985407
YCR008W	-0.102963907	0.323096219
YBL082C	-0.008102355	0.984588436
YOR092W	0.34646936	0.045054781
YBR194W	0.083184	0.745652401
YBL113C	0.115433706	0.803312719
YML122C	0.048410347	0.927022124
YJL091C	0.022090223	0.910082925
YLR212C	0.05901396	0.778268322
YDR011W	0.143890371	0.378744295
YGL010W	-0.079300283	0.718063471
YPL018W	-0.098839533	0.734101518
YLR157W-E		
YLR105C	0.058189253	0.74115582
tF(GAA)H1	-0.23074921	
YHR032C-A	-0.048981182	0.958335214
YLL036C	-0.146736658	0.34071298
tF(GAA)B	1.801574109	
YDL141W	-0.162498672	0.458731934
Q0158		
YPR133C	0.10954242	0.416775239
YLL048C	0.01319128	0.92762909
YOR066W	-0.396212133	0.048698678
YDR261C-D	0.316472822	0.609610324
YLR188W	-0.190832528	0.304133125
YNL184C	-0.059367087	0.95830377
YOR288C	0.04025337	0.812869071
YJL105W	-0.27342264	0.215850839
YHR133C	-0.045020145	0.820261737
YKL155C	-0.175237851	0.07998956
YNL229C	0.014893747	0.919444021
YIR023C-A	0.100532088	0.885716537
YKL123W	0.16823112	0.787190635
YER105C	-0.041507213	0.769578134
YLR292C	0.018624612	0.933594759
YJR010C-A	0.131155589	0.550416113
YNR042W	-1.60105128	
YOL129W	0.067742258	0.706264738
YNR045W	-0.105037811	0.353883622
YJL174W	0.034388285	0.833440478
YNL243W	-0.3943799	2.83e-06
YLR287C	0.126385653	0.312915447
YGR101W	-0.242830525	0.031562677
YDR299W	0.05294583	0.746360459
YGR237C	-0.332999968	0.001171367
YDR411C	0.010409858	0.958335214
YML046W	-0.010407583	0.958335214
YNR035C	0.099220251	0.48035215
YNL176C	-0.221601931	0.140473648
YJL222W-B		
YMR001C-A	-0.296192179	0.888757711
YFL012W	-0.182440106	0.682414535
YBR133C	-0.002736477	0.99174829
YER043C	-0.134545416	0.139966775
YDR129C	-0.092782323	0.36840731
YLR008C	0.028417484	0.890522916
YPR047W	0.059727208	0.709501906
YIL173W	0.204379105	0.860938865
tK(CUU)M	0.791555292	0.655335161
YBR141W-A		
YCR046C	-0.030142448	0.893220204
YDR487C	0.045934378	0.7953751
YPR032W	-0.303304626	0.001170808
YDR210C-C		
YLR063W	-0.102183535	0.78512545
YMR295C	0.054959449	0.808472961
YDR092W	0.146098789	0.418064741
YOR007C	0.046675658	0.78512545
YNL198C	-0.03561628	0.981365646
YBR184W	0.145243572	0.547533372
YHR089C	0.098184667	0.506789616
YDR374C	-0.129284015	0.842862338
YDR254W	0.075592048	0.630608391
YDR379W	-0.19982007	0.041331713
YDR442W	-0.131467257	0.881651687
YKR058W	-0.111837704	0.308095283
YER038W-A	-0.086559361	0.937360402
YDR159W	-0.091935721	0.560723023
YER070W	-0.283686339	0.193393205
YNL252C	0.01662118	0.927022124
YDL215C	0.100061963	0.329144511
YIL118W	0.131450551	0.409576736
YIL062C	0.052765066	0.834624126
YOR040W	0.211474331	0.051370166
tA(UGC)L		
YBR035C	0.081129882	0.662149023
tS(AGA)A	2.121367411	
YMR138W	0.0923045	0.698650389
YML061C	-0.138537219	0.318311606
YER115C	-0.026405189	0.924630448
YPL111W	-0.171160717	0.226576359
YIL057C	0.519815608	0.000169507
YDL077C	-0.234538345	0.020181116
YDL228C	-0.047060605	0.944276933
YNL274C	-0.116521095	0.532885616
YNL008C	0.139521323	0.132237867
YHL021C	0.043900003	0.787958612
YPL222C-A		
YOR352W	0.164033223	0.11847302
YHR175W-A	-0.21855359	0.638656963
YHR139C	0.939406482	0.002333791
YDL205C	-0.043441119	0.785739855
YJR055W	0.165803224	0.442400886
YJL204C	0.085947859	0.571984711
YDR258C	-0.098495982	0.513534184
YHR001W-A	-0.082537494	0.78512545
YMR274C	0.016600667	0.93921705
YLR309C	0.108039872	0.19808758
YKL197C	-0.097404094	0.553663236
YOL045W	0.535588206	4.47e-07
YNR032W	0.1276895	0.284024777
